Run 1: {'dice_score': tensor(0.7256, device='cuda:0'), 'mIoU': tensor(0.5705, device='cuda:0'), 'precision': 0.8265185862779617, 'recall': 0.6536443993449211}, Credible Intervals: {'dice_score': (0.5035751268521005, 0.8713142492650632), 'mIoU': (0.35809887627748616, 0.7590512538484454), 'precision': (0.6100178594131516, 0.9329272672684656), 'recall': (0.4337495678225948, 0.821560753482382)}
Run 2: {'dice_score': tensor(0.7365, device='cuda:0'), 'mIoU': tensor(0.5832, device='cuda:0'), 'precision': 0.7408612251281739, 'recall': 0.7387854367494583}, Credible Intervals: {'dice_score': (0.5768697454880264, 0.8433425557965095), 'mIoU': (0.42288142278841395, 0.7169403640602067), 'precision': (0.6333447057942801, 0.8826988014723588), 'recall': (0.5407390175274982, 0.8161520451093361)}
Run 3: {'dice_score': tensor(0.7308, device='cuda:0'), 'mIoU': tensor(0.5764, device='cuda:0'), 'precision': 0.7100119471549988, 'recall': 0.7640546947717667}, Credible Intervals: {'dice_score': (0.6067725212642059, 0.826583358521573), 'mIoU': (0.4503292601202814, 0.69363475106499), 'precision': (0.6368734347975995, 0.8493601630530825), 'recall': (0.5939826945784156, 0.8166197683627314)}
Run 4: {'dice_score': tensor(0.7338, device='cuda:0'), 'mIoU': tensor(0.5801, device='cuda:0'), 'precision': 0.7646114349365234, 'recall': 0.7143380165100097}, Credible Intervals: {'dice_score': (0.625213624207466, 0.8164001182160284), 'mIoU': (0.4678948625551742, 0.6799687885916361), 'precision': (0.6560235906872522, 0.8405365268118472), 'recall': (0.6104567658617541, 0.8045236386040735)}
Run 5: {'dice_score': tensor(0.7301, device='cuda:0'), 'mIoU': tensor(0.5755, device='cuda:0'), 'precision': 0.721256822347641, 'recall': 0.7489873379468918}, Credible Intervals: {'dice_score': (0.6368279138534934, 0.8084185602474137), 'mIoU': (0.4790065913957374, 0.6694866941755403), 'precision': (0.6594896824552338, 0.826710312748575), 'recall': (0.6289946002963125, 0.8019926396908945)}
Run 6: {'dice_score': tensor(0.7400, device='cuda:0'), 'mIoU': tensor(0.5878, device='cuda:0'), 'precision': 0.7612300157546997, 'recall': 0.7291942745447159}, Credible Intervals: {'dice_score': (0.6470814886765278, 0.8037888003094402), 'mIoU': (0.4893085622845778, 0.6635698700772212), 'precision': (0.6697115418186106, 0.8223633021339052), 'recall': (0.6386595190901907, 0.7967704949762238)}
Run 7: {'dice_score': tensor(0.7422, device='cuda:0'), 'mIoU': tensor(0.5911, device='cuda:0'), 'precision': 0.8143804132938385, 'recall': 0.690828287601471}, Credible Intervals: {'dice_score': (0.6552363089693081, 0.8003071175779117), 'mIoU': (0.49770553640495346, 0.6592646661590542), 'precision': (0.6856111297187715, 0.8254731524098754), 'recall': (0.6402980825805711, 0.7876717973766497)}
Run 8: {'dice_score': tensor(0.7196, device='cuda:0'), 'mIoU': tensor(0.5632, device='cuda:0'), 'precision': 0.7038172543048858, 'recall': 0.7503953441977501}, Credible Intervals: {'dice_score': (0.6587087428551563, 0.7948470035537205), 'mIoU': (0.5008934357136205, 0.6523453837617594), 'precision': (0.6830914599171749, 0.8153798946050801), 'recall': (0.6497060823184304, 0.7871572621102777)}
Run 9: {'dice_score': tensor(0.7305, device='cuda:0'), 'mIoU': tensor(0.5765, device='cuda:0'), 'precision': 0.7739384055137635, 'recall': 0.7021011784672737}, Credible Intervals: {'dice_score': (0.6629360044922582, 0.7914299056295332), 'mIoU': (0.5051259688318077, 0.648089375590217), 'precision': (0.6896902648004912, 0.8141603920965598), 'recall': (0.6516360520995519, 0.7816813195923021)}
Run 10: {'dice_score': tensor(0.7364, device='cuda:0'), 'mIoU': tensor(0.5841, device='cuda:0'), 'precision': 0.8305690318346024, 'recall': 0.6708253920078278}, Credible Intervals: {'dice_score': (0.6671223358649121, 0.7890468775017154), 'mIoU': (0.5094774145945534, 0.6452036453645809), 'precision': (0.701167226999453, 0.818115417586971), 'recall': (0.6501030942866228, 0.7742275936473624)}
Run 11: {'dice_score': tensor(0.7313, device='cuda:0'), 'mIoU': tensor(0.5778, device='cuda:0'), 'precision': 0.7966246277093887, 'recall': 0.6845151200890541}, Credible Intervals: {'dice_score': (0.6702108153153361, 0.7865420360060951), 'mIoU': (0.5126265750676515, 0.6421374257371759), 'precision': (0.7074017022223248, 0.8184914826404548), 'recall': (0.6503101634848714, 0.7690840399799534)}
Run 12: {'dice_score': tensor(0.7357, device='cuda:0'), 'mIoU': tensor(0.5829, device='cuda:0'), 'precision': 0.8189888805150985, 'recall': 0.6748349770903588}, Credible Intervals: {'dice_score': (0.6732775098121695, 0.7846737548126332), 'mIoU': (0.5158071961994299, 0.6398681526072819), 'precision': (0.714681120007398, 0.8204056823366818), 'recall': (0.6497662052853945, 0.7639130566379558)}
Run 13: {'dice_score': tensor(0.7263, device='cuda:0'), 'mIoU': tensor(0.5706, device='cuda:0'), 'precision': 0.6898814529180527, 'recall': 0.7747199922800064}, Credible Intervals: {'dice_score': (0.6752099690306161, 0.7823402000634334), 'mIoU': (0.5176522848393043, 0.6369340553230267), 'precision': (0.7103756671370601, 0.8129421897569263), 'recall': (0.6574045007291692, 0.7665650823960609)}
Run 14: {'dice_score': tensor(0.7382, device='cuda:0'), 'mIoU': tensor(0.5862, device='cuda:0'), 'precision': 0.7860881865024567, 'recall': 0.706115971505642}, Credible Intervals: {'dice_score': (0.6778284418392645, 0.781045887028728), 'mIoU': (0.5204352348211814, 0.6354098892852913), 'precision': (0.7140543654515442, 0.8127071424175157), 'recall': (0.6589226732351116, 0.7642215013825105)}
Run 15: {'dice_score': tensor(0.7423, device='cuda:0'), 'mIoU': tensor(0.5907, device='cuda:0'), 'precision': 0.7309151619672776, 'recall': 0.7609221518039704}, Credible Intervals: {'dice_score': (0.6804486328450361, 0.7801203784469055), 'mIoU': (0.5232151873293773, 0.6343071981643096), 'precision': (0.7134112043543666, 0.8090785931532244), 'recall': (0.6641048888775034, 0.7655359215180817)}
Run 16: {'dice_score': tensor(0.7318, device='cuda:0'), 'mIoU': tensor(0.5778, device='cuda:0'), 'precision': 0.8012808710336685, 'recall': 0.6811993747949601}, Credible Intervals: {'dice_score': (0.6821088530236135, 0.7786510101187066), 'mIoU': (0.5248987025102002, 0.6325044906613464), 'precision': (0.7175472140306505, 0.8098879371665479), 'recall': (0.6635085644556658, 0.761981260330852)}
Run 17: {'dice_score': tensor(0.7058, device='cuda:0'), 'mIoU': tensor(0.5463, device='cuda:0'), 'precision': 0.657448747754097, 'recall': 0.7792237043380738}, Credible Intervals: {'dice_score': (0.6820198036021357, 0.7758780586988065), 'mIoU': (0.5245732626873607, 0.6290634429790274), 'precision': (0.7123193991416076, 0.8027563975733919), 'recall': (0.6690231530687802, 0.7641997341746561)}
Run 18: {'dice_score': tensor(0.7251, device='cuda:0'), 'mIoU': tensor(0.5695, device='cuda:0'), 'precision': 0.7040647894144059, 'recall': 0.7592732101678848}, Credible Intervals: {'dice_score': (0.6831047141702976, 0.7743752299361176), 'mIoU': (0.5256243041589075, 0.6272125042115364), 'precision': (0.7104540876414549, 0.7987447738028348), 'recall': (0.6728104705225327, 0.7651024604259697)}
Run 19: {'dice_score': tensor(0.7269, device='cuda:0'), 'mIoU': tensor(0.5716, device='cuda:0'), 'precision': 0.7257759928703308, 'recall': 0.7373538106679917}, Credible Intervals: {'dice_score': (0.6842053130415195, 0.7730814277602824), 'mIoU': (0.5267099706154434, 0.6256218996944509), 'precision': (0.7100248106021796, 0.7961715203258943), 'recall': (0.6750328006939359, 0.7647975981574651)}
Run 20: {'dice_score': tensor(0.6554, device='cuda:0'), 'mIoU': tensor(0.4912, device='cuda:0'), 'precision': 0.920970106124878, 'recall': 0.5163963854312896}, Credible Intervals: {'dice_score': (0.6815108839479719, 0.7685274360941206), 'mIoU': (0.5236817816115367, 0.6202358208913457), 'precision': (0.7199077861018734, 0.8029141516355249), 'recall': (0.6656050491384948, 0.754070614354765)}
Run 21: {'dice_score': tensor(0.7225, device='cuda:0'), 'mIoU': tensor(0.5674, device='cuda:0'), 'precision': 0.8767036229372025, 'recall': 0.6206768661737442}, Credible Intervals: {'dice_score': (0.6824240107678516, 0.7673779369097784), 'mIoU': (0.5246185613422909, 0.618871241101739), 'precision': (0.7266620674099846, 0.8070395823044326), 'recall': (0.6622681986806167, 0.7489945320509301)}
Run 22: {'dice_score': tensor(0.6615, device='cuda:0'), 'mIoU': tensor(0.4955, device='cuda:0'), 'precision': 0.554402431845665, 'recall': 0.8325046181678772}, Credible Intervals: {'dice_score': (0.6804019464272235, 0.7636915870116463), 'mIoU': (0.5222118302181452, 0.6144063144506051), 'precision': (0.7174483439858056, 0.7971099882188524), 'recall': (0.6692185966411052, 0.753477044120331)}
Run 23: {'dice_score': tensor(0.6579, device='cuda:0'), 'mIoU': tensor(0.4934, device='cuda:0'), 'precision': 0.9161950796842575, 'recall': 0.5206259176135063}, Credible Intervals: {'dice_score': (0.6784182853642766, 0.7601456374697548), 'mIoU': (0.5199495253389593, 0.6102129361677309), 'precision': (0.7255512702718974, 0.8027100260365148), 'recall': (0.6615687036108773, 0.7446822233354919)}
Run 24: {'dice_score': tensor(0.7191, device='cuda:0'), 'mIoU': tensor(0.5631, device='cuda:0'), 'precision': 0.8663441449403763, 'recall': 0.6214083075523377}, Credible Intervals: {'dice_score': (0.6792637225043932, 0.7592871064392205), 'mIoU': (0.5208094553478415, 0.6091882439810823), 'precision': (0.7308190707864455, 0.8058917063853275), 'recall': (0.658924589613058, 0.7405717473157849)}
Run 25: {'dice_score': tensor(0.7240, device='cuda:0'), 'mIoU': tensor(0.5679, device='cuda:0'), 'precision': 0.7023763954639435, 'recall': 0.7582970827817916}, Credible Intervals: {'dice_score': (0.6802609302034264, 0.7586659434186872), 'mIoU': (0.521814409847567, 0.6084174347483207), 'precision': (0.7288047924499418, 0.8026688248212503), 'recall': (0.6621561965660403, 0.7419880296055281)}
