Run 1: {'dice_score': tensor(0.7941, device='cuda:0'), 'mIoU': tensor(0.6592, device='cuda:0'), 'precision': 0.8322106927633286, 'recall': 0.7652455717325211}, Credible Intervals: {'dice_score': (0.5746177818772873, 0.9143692053107702), 'mIoU': (0.4390360632957131, 0.8255880611527888), 'precision': (0.6163822980684861, 0.9360532348311909), 'recall': (0.544091518156183, 0.8968070855642125)}
Run 2: {'dice_score': tensor(0.7923, device='cuda:0'), 'mIoU': tensor(0.6570, device='cuda:0'), 'precision': 0.8411172807216645, 'recall': 0.7551942110061646}, Credible Intervals: {'dice_score': (0.6438361424553842, 0.8895694424289495), 'mIoU': (0.502169800162084, 0.7854516123322121), 'precision': (0.6927930514639598, 0.9196761127749852), 'recall': (0.6078895909074327, 0.865446264958162)}
Run 3: {'dice_score': tensor(0.7839, device='cuda:0'), 'mIoU': tensor(0.6458, device='cuda:0'), 'precision': 0.8434904754161835, 'recall': 0.7391793757677079}, Credible Intervals: {'dice_score': (0.6706393285412895, 0.8737385532305978), 'mIoU': (0.5271317990313519, 0.7618808939700328), 'precision': (0.7255375730094006, 0.9104919474565438), 'recall': (0.6304989685475424, 0.8446169496005643)}
Run 4: {'dice_score': tensor(0.7902, device='cuda:0'), 'mIoU': tensor(0.6540, device='cuda:0'), 'precision': 0.846704226732254, 'recall': 0.7469021916389466}, Credible Intervals: {'dice_score': (0.6882757749889445, 0.8647980606220382), 'mIoU': (0.5445147136698448, 0.749077274417203), 'precision': (0.7450544940991595, 0.9047492211871423), 'recall': (0.6464871218968813, 0.8331630556165379)}
Run 5: {'dice_score': tensor(0.7991, device='cuda:0'), 'mIoU': tensor(0.6659, device='cuda:0'), 'precision': 0.8136636763811111, 'recall': 0.7907978504896164}, Credible Intervals: {'dice_score': (0.7020161514620706, 0.8597756353882968), 'mIoU': (0.5587957467789908, 0.7421606355079264), 'precision': (0.7503671470090528, 0.8951594690419965), 'recall': (0.6667973822030648, 0.8325118839928359)}
Run 6: {'dice_score': tensor(0.7957, device='cuda:0'), 'mIoU': tensor(0.6613, device='cuda:0'), 'precision': 0.7968979179859161, 'recall': 0.8017564177513122}, Credible Intervals: {'dice_score': (0.7112722500318263, 0.8553369287778713), 'mIoU': (0.5683684510388628, 0.7360838606622734), 'precision': (0.7515001699029407, 0.885704255421561), 'recall': (0.6830439964834664, 0.8331064970223008)}
Run 7: {'dice_score': tensor(0.7947, device='cuda:0'), 'mIoU': tensor(0.6601, device='cuda:0'), 'precision': 0.815331369638443, 'recall': 0.7834387511014939}, Credible Intervals: {'dice_score': (0.7181739753157482, 0.8516177715979865), 'mIoU': (0.5755661919405191, 0.731075108067812), 'precision': (0.7557271939275557, 0.8805850649501311), 'recall': (0.6922991070236856, 0.8309156600594692)}
Run 8: {'dice_score': tensor(0.7947, device='cuda:0'), 'mIoU': tensor(0.6596, device='cuda:0'), 'precision': 0.7951453000307083, 'recall': 0.799122828245163}, Credible Intervals: {'dice_score': (0.7236598858042036, 0.8485310654409943), 'mIoU': (0.5812678708004445, 0.7269043515159079), 'precision': (0.7564221861175056, 0.8742856991348601), 'recall': (0.7016616904767992, 0.8307178981183685)}
Run 9: {'dice_score': tensor(0.7755, device='cuda:0'), 'mIoU': tensor(0.6377, device='cuda:0'), 'precision': 0.797153240442276, 'recall': 0.7737921833992004}, Credible Intervals: {'dice_score': (0.7258537277665122, 0.8440499501970051), 'mIoU': (0.5834739587278541, 0.7211352091103254), 'precision': (0.7574544848333015, 0.8693024647924653), 'recall': (0.7061508523121587, 0.8278891417178836)}
Run 10: {'dice_score': tensor(0.7780, device='cuda:0'), 'mIoU': tensor(0.6407, device='cuda:0'), 'precision': 0.8469333052635193, 'recall': 0.7321943566203117}, Credible Intervals: {'dice_score': (0.7280540387571572, 0.8404913918075023), 'mIoU': (0.5857520429875029, 0.7165899060945347), 'precision': (0.7639031479683376, 0.8694418657430711), 'recall': (0.7054761658040339, 0.821737206536316)}
Run 11: {'dice_score': tensor(0.7960, device='cuda:0'), 'mIoU': tensor(0.6614, device='cuda:0'), 'precision': 0.8058255165815353, 'recall': 0.7911791235208512}, Credible Intervals: {'dice_score': (0.7317511355913404, 0.838895643741628), 'mIoU': (0.5896980525489284, 0.7144776840464344), 'precision': (0.7652120230493946, 0.8661993999478123), 'recall': (0.7107881789734727, 0.8213545755563763)}
