Run 1: {'dice_score': tensor(0.7990, device='cuda:0'), 'mIoU': tensor(0.6658, device='cuda:0'), 'precision': 0.8044860601425171, 'recall': 0.8003840118646621}, Credible Intervals: {'dice_score': (0.5798554394491211, 0.9172385588753503), 'mIoU': (0.44527713837548416, 0.8302870120845214), 'precision': (0.5857913488293878, 0.920438945405468), 'recall': (0.5813487994244753, 0.9180488745548065)}
Run 2: {'dice_score': tensor(0.7992, device='cuda:0'), 'mIoU': tensor(0.6659, device='cuda:0'), 'precision': 0.7895233452320098, 'recall': 0.8153205186128616}, Credible Intervals: {'dice_score': (0.6503495090457254, 0.8937626888928971), 'mIoU': (0.5099424845474605, 0.7917764963058899), 'precision': (0.6480112547384521, 0.8922637667889443), 'recall': (0.6600899418482071, 0.8999284693029798)}
Run 3: {'dice_score': tensor(0.7911, device='cuda:0'), 'mIoU': tensor(0.6552, device='cuda:0'), 'precision': 0.8185407102108002, 'recall': 0.7734872877597809}, Credible Intervals: {'dice_score': (0.677618347646747, 0.8786155100960651), 'mIoU': (0.5355526070618055, 0.7690171982594802), 'precision': (0.6862325021526905, 0.8845557840821845), 'recall': (0.6775833001961885, 0.8785911615451454)}
Run 4: {'dice_score': tensor(0.7928, device='cuda:0'), 'mIoU': tensor(0.6576, device='cuda:0'), 'precision': 0.8357434391975402, 'recall': 0.760385924577713}, Credible Intervals: {'dice_score': (0.6941881336250013, 0.869128234289814), 'mIoU': (0.5517868925457815, 0.7553776667444418), 'precision': (0.7125478735629072, 0.8823312197965142), 'recall': (0.6852567903814142, 0.862572606293152)}
Run 5: {'dice_score': tensor(0.7937, device='cuda:0'), 'mIoU': tensor(0.6587, device='cuda:0'), 'precision': 0.8332201540470123, 'recall': 0.7625231921672821}, Credible Intervals: {'dice_score': (0.7055521044094528, 0.8624466392662165), 'mIoU': (0.5631677782686486, 0.7460015067315355), 'precision': (0.7289218235459496, 0.8797769697032266), 'recall': (0.6916302347876686, 0.8518587860114619)}
Run 6: {'dice_score': tensor(0.7970, device='cuda:0'), 'mIoU': tensor(0.6631, device='cuda:0'), 'precision': 0.8188066512346268, 'recall': 0.7827934890985488}, Credible Intervals: {'dice_score': (0.7144323139954076, 0.8577801222916218), 'mIoU': (0.5723312762371777, 0.7396021587901787), 'precision': (0.7378264481292608, 0.8755660482399877), 'recall': (0.7002993368843615, 0.8467810323527865)}
Run 7: {'dice_score': tensor(0.7983, device='cuda:0'), 'mIoU': tensor(0.6648, device='cuda:0'), 'precision': 0.8197800159454346, 'recall': 0.7832950592041016}, Credible Intervals: {'dice_score': (0.7214379120639844, 0.8541877806502951), 'mIoU': (0.5796655274494855, 0.7347449610078167), 'precision': (0.744771477972334, 0.8722743129023036), 'recall': (0.7070327664050974, 0.8427742885135328)}
Run 8: {'dice_score': tensor(0.7897, device='cuda:0'), 'mIoU': tensor(0.6541, device='cuda:0'), 'precision': 0.8348218321800231, 'recall': 0.7579161301255226}, Credible Intervals: {'dice_score': (0.7258309362125472, 0.8502672204973415), 'mIoU': (0.5841529220494639, 0.7295060393806241), 'precision': (0.7523424990193719, 0.8711323232710015), 'recall': (0.7089821062508508, 0.8366896272197034)}
Run 9: {'dice_score': tensor(0.7840, device='cuda:0'), 'mIoU': tensor(0.6456, device='cuda:0'), 'precision': 0.8512315809726715, 'recall': 0.7316625505685806}, Credible Intervals: {'dice_score': (0.7287885187406247, 0.846430714949175), 'mIoU': (0.5869433963544028, 0.7242863776640319), 'precision': (0.7604343032782468, 0.8716383350929338), 'recall': (0.7076194869467108, 0.8291041661336067)}
Run 10: {'dice_score': tensor(0.7928, device='cuda:0'), 'mIoU': tensor(0.6570, device='cuda:0'), 'precision': 0.772384712100029, 'recall': 0.8211968332529068}, Credible Intervals: {'dice_score': (0.7322800405899739, 0.843958639952268), 'mIoU': (0.5905431862953765, 0.7209651867740727), 'precision': (0.7584261366522893, 0.8650889845767537), 'recall': (0.7163096491501577, 0.8307834973672726)}
Run 11: {'dice_score': tensor(0.7976, device='cuda:0'), 'mIoU': tensor(0.6638, device='cuda:0'), 'precision': 0.7947892010211944, 'recall': 0.8078077256679534}, Credible Intervals: {'dice_score': (0.7357404341266776, 0.8421971181501349), 'mIoU': (0.5942760389124226, 0.7186743790633383), 'precision': (0.7591597900915814, 0.8613281362234081), 'recall': (0.7222405627628823, 0.8309769995052453)}
Run 12: {'dice_score': tensor(0.7871, device='cuda:0'), 'mIoU': tensor(0.6510, device='cuda:0'), 'precision': 0.8189942359924316, 'recall': 0.7694511190056801}, Credible Intervals: {'dice_score': (0.7377905770115243, 0.8398514748706074), 'mIoU': (0.5964115518097706, 0.7156392484963533), 'precision': (0.7620692365437978, 0.8598569148021656), 'recall': (0.7238666617761713, 0.8281799968659049)}
Run 13: {'dice_score': tensor(0.7574, device='cuda:0'), 'mIoU': tensor(0.6125, device='cuda:0'), 'precision': 0.7608856827020645, 'recall': 0.7741515070199967}, Credible Intervals: {'dice_score': (0.7371587312674539, 0.8357181971246634), 'mIoU': (0.5952881735622182, 0.7101726304537612), 'precision': (0.7597778601897007, 0.8545605074829519), 'recall': (0.7257174133957942, 0.8260478292872913)}
Run 14: {'dice_score': tensor(0.7885, device='cuda:0'), 'mIoU': tensor(0.6513, device='cuda:0'), 'precision': 0.7680280417203903, 'recall': 0.8183938145637513}, Credible Intervals: {'dice_score': (0.7390736092349781, 0.8340967344688193), 'mIoU': (0.5972436504738674, 0.7080153692069957), 'precision': (0.7584535393059213, 0.8503720723123261), 'recall': (0.7307392976491283, 0.8270172922439516)}
Run 15: {'dice_score': tensor(0.7940, device='cuda:0'), 'mIoU': tensor(0.6589, device='cuda:0'), 'precision': 0.8084050387144088, 'recall': 0.7889124870300293}, Credible Intervals: {'dice_score': (0.7411852164747899, 0.8329686844372695), 'mIoU': (0.5995269722323455, 0.7065613207976129), 'precision': (0.760266584570807, 0.8490860829887491), 'recall': (0.7330535686629116, 0.8260252250506586)}
Run 16: {'dice_score': tensor(0.7925, device='cuda:0'), 'mIoU': tensor(0.6568, device='cuda:0'), 'precision': 0.7831674814224243, 'recall': 0.809534227848053}, Credible Intervals: {'dice_score': (0.7429792828522174, 0.8318479233714983), 'mIoU': (0.6014488025632339, 0.7051093222916023), 'precision': (0.7602092764409786, 0.8464884789155073), 'recall': (0.7364959867243233, 0.8262882158602749)}
Run 17: {'dice_score': tensor(0.7901, device='cuda:0'), 'mIoU': tensor(0.6541, device='cuda:0'), 'precision': 0.8177611202001571, 'recall': 0.773870787024498}, Credible Intervals: {'dice_score': (0.7444502784836748, 0.830686763520094), 'mIoU': (0.6030280592716784, 0.703625936678438), 'precision': (0.76238179507666, 0.8459933700408246), 'recall': (0.7373456291367484, 0.8245647814849875)}
Run 18: {'dice_score': tensor(0.7740, device='cuda:0'), 'mIoU': tensor(0.6333, device='cuda:0'), 'precision': 0.8061497747898102, 'recall': 0.7534947887063026}, Credible Intervals: {'dice_score': (0.7448439791331516, 0.8287988606196066), 'mIoU': (0.6032922539138357, 0.7011602774175267), 'precision': (0.7636565063683768, 0.8449352573197828), 'recall': (0.7369399455006144, 0.8219528854415453)}
Run 19: {'dice_score': tensor(0.7968, device='cuda:0'), 'mIoU': tensor(0.6628, device='cuda:0'), 'precision': 0.8274864882230759, 'recall': 0.7748760372400284}, Credible Intervals: {'dice_score': (0.7465037660062358, 0.8281789513496466), 'mIoU': (0.6051548372455577, 0.7004035564055588), 'precision': (0.7660259278813202, 0.8449829270466935), 'recall': (0.7378031563611531, 0.8206142006288584)}
Run 20: {'dice_score': tensor(0.7902, device='cuda:0'), 'mIoU': tensor(0.6539, device='cuda:0'), 'precision': 0.8354524821043015, 'recall': 0.7575431853532791}, Credible Intervals: {'dice_score': (0.747673306771891, 0.8272904002345718), 'mIoU': (0.6064041664579556, 0.6992613385617488), 'precision': (0.7686071736965734, 0.8453682352973225), 'recall': (0.7376933717556944, 0.8185789852633384)}
