Run 1: {'dice_score': tensor(0.7837, device='cuda:0'), 'mIoU': tensor(0.6465, device='cuda:0'), 'precision': 0.8351375788450242, 'recall': 0.7504446744918823}, Credible Intervals: {'dice_score': (0.5634727423611738, 0.9081226909537704), 'mIoU': (0.42708539832492276, 0.8164220973015262), 'precision': (0.619672692667174, 0.9376437614894865), 'recall': (0.5287962678912912, 0.887474322985501)}
Run 2: {'dice_score': tensor(0.7727, device='cuda:0'), 'mIoU': tensor(0.6316, device='cuda:0'), 'precision': 0.7753473728895187, 'recall': 0.7827522173523903}, Credible Intervals: {'dice_score': (0.6273525833929924, 0.8787111360441515), 'mIoU': (0.48322538663913067, 0.7697447725376685), 'precision': (0.6571729240863435, 0.8980952924140636), 'recall': (0.6147595956772379, 0.8701825337964764)}
Run 3: {'dice_score': tensor(0.7895, device='cuda:0'), 'mIoU': tensor(0.6530, device='cuda:0'), 'precision': 0.7787638694047928, 'recall': 0.8114580184221267}, Credible Intervals: {'dice_score': (0.6616958151140659, 0.8674063317430707), 'mIoU': (0.5167212025128194, 0.7529635228207195), 'precision': (0.677604343305932, 0.8786057810199117), 'recall': (0.6612344855522816, 0.8670772176963887)}
Run 4: {'dice_score': tensor(0.8007, device='cuda:0'), 'mIoU': tensor(0.6684, device='cuda:0'), 'precision': 0.8376158356666565, 'recall': 0.773446899652481}, Credible Intervals: {'dice_score': (0.6844494770889885, 0.8619758605391248), 'mIoU': (0.5403149200512716, 0.7454181028362186), 'precision': (0.7065827765345187, 0.8780826820168054), 'recall': (0.6766513613376666, 0.8561765814752957)}
Run 5: {'dice_score': tensor(0.7886, device='cuda:0'), 'mIoU': tensor(0.6530, device='cuda:0'), 'precision': 0.84353708922863, 'recall': 0.7494781956076622}, Credible Intervals: {'dice_score': (0.6966760205280378, 0.8557182360430252), 'mIoU': (0.5527838612816336, 0.7368548908447761), 'precision': (0.7264502025712993, 0.8779712993740433), 'recall': (0.6819594542906997, 0.8443932312149948)}
Run 6: {'dice_score': tensor(0.7950, device='cuda:0'), 'mIoU': tensor(0.6604, device='cuda:0'), 'precision': 0.8252419620752335, 'recall': 0.7746583551168442}, Credible Intervals: {'dice_score': (0.7067005950065437, 0.8517858000998267), 'mIoU': (0.5631963090200444, 0.7314749380215062), 'precision': (0.736963300662385, 0.8749195278690981), 'recall': (0.6907986321435153, 0.839284552139679)}
Run 7: {'dice_score': tensor(0.7579, device='cuda:0'), 'mIoU': tensor(0.6150, device='cuda:0'), 'precision': 0.8755640000104904, 'recall': 0.6807335540652275}, Credible Intervals: {'dice_score': (0.708575022204992, 0.8440049308111695), 'mIoU': (0.5645475641795121, 0.721155067560714), 'precision': (0.7528426510570455, 0.8784086154008109), 'recall': (0.683179825129514, 0.8234855950566486)}
Run 8: {'dice_score': tensor(0.7828, device='cuda:0'), 'mIoU': tensor(0.6445, device='cuda:0'), 'precision': 0.8557570248842239, 'recall': 0.7277122735977173}, Credible Intervals: {'dice_score': (0.7136746245365475, 0.840494779309711), 'mIoU': (0.5696996682204074, 0.7164195511897951), 'precision': (0.762274801145892, 0.8787813867888274), 'recall': (0.6841562424731975, 0.8162665117498954)}
Run 9: {'dice_score': tensor(0.8008, device='cuda:0'), 'mIoU': tensor(0.6680, device='cuda:0'), 'precision': 0.8065439879894256, 'recall': 0.8004225492477417}, Credible Intervals: {'dice_score': (0.7200253335671774, 0.8393012075121724), 'mIoU': (0.5766357820098854, 0.7149032209384331), 'precision': (0.7637750617596119, 0.8742473691256696), 'recall': (0.6937691041739895, 0.817580984046657)}
Run 10: {'dice_score': tensor(0.7922, device='cuda:0'), 'mIoU': tensor(0.6575, device='cuda:0'), 'precision': 0.8493844598531723, 'recall': 0.7497793972492218}, Credible Intervals: {'dice_score': (0.7243457274502575, 0.837437466159961), 'mIoU': (0.5813209352482103, 0.7125317368793613), 'precision': (0.7698492339651435, 0.8741372043553436), 'recall': (0.6962403529041361, 0.8139580373979369)}
Run 11: {'dice_score': tensor(0.7945, device='cuda:0'), 'mIoU': tensor(0.6596, device='cuda:0'), 'precision': 0.785755655169487, 'recall': 0.8122703641653061}, Credible Intervals: {'dice_score': (0.7282352801909078, 0.8359760780366894), 'mIoU': (0.5855030442313742, 0.7106219887068652), 'precision': (0.7686023664687137, 0.8689145194532759), 'recall': (0.7044369366564975, 0.815978400119072)}
