Run 1: {'dice_score': tensor(0.8749, device='cuda:0'), 'mIoU': tensor(0.8072, device='cuda:0'), 'precision': 0.8910988975128259, 'recall': 0.8896171398659594}, Credible Intervals: {'dice_score': (0.7957170704026595, 0.9258402452390962), 'mIoU': (0.71885800615025, 0.8723838918408793), 'precision': (0.8147877385878041, 0.9378844270786482), 'recall': (0.8130246543756778, 0.9367947447175848)}
Run 2: {'dice_score': tensor(0.8743, device='cuda:0'), 'mIoU': tensor(0.8031, device='cuda:0'), 'precision': 0.8487306508465187, 'recall': 0.9379328501330114}, Credible Intervals: {'dice_score': (0.8214510483020956, 0.9134116722790605), 'mIoU': (0.7446361097398777, 0.8540147793507771), 'precision': (0.8161409731552067, 0.9095040423720994), 'recall': (0.8665945551955034, 0.9450991338761738)}
Run 3: {'dice_score': tensor(0.8712, device='cuda:0'), 'mIoU': tensor(0.8027, device='cuda:0'), 'precision': 0.9057510623335838, 'recall': 0.8852637347719897}, Credible Intervals: {'dice_score': (0.8310257162411143, 0.9063483641588556), 'mIoU': (0.7556639981242449, 0.8452216734220794), 'precision': (0.8403600526000577, 0.9135492393975798), 'recall': (0.865634032548783, 0.932523803955567)}
Run 4: {'dice_score': tensor(0.8585, device='cuda:0'), 'mIoU': tensor(0.7940, device='cuda:0'), 'precision': 0.910171340426143, 'recall': 0.8624780018833779}, Credible Intervals: {'dice_score': (0.8331504981828746, 0.8991667707099753), 'mIoU': (0.7598669163007825, 0.837853550370135), 'precision': (0.854327854156964, 0.9160342578775899), 'recall': (0.8597566017811005, 0.9202812899442839)}
Run 5: {'dice_score': tensor(0.8749, device='cuda:0'), 'mIoU': tensor(0.8085, device='cuda:0'), 'precision': 0.8881351463601069, 'recall': 0.9028850835702648}, Credible Intervals: {'dice_score': (0.8384804500306019, 0.8973214670584179), 'mIoU': (0.7659821111668836, 0.8355841182352488), 'precision': (0.8581660436232557, 0.9133707452570089), 'recall': (0.8657198658899361, 0.9194268947721727)}
Run 6: {'dice_score': tensor(0.8679, device='cuda:0'), 'mIoU': tensor(0.8007, device='cuda:0'), 'precision': 0.9055961054842919, 'recall': 0.8756900940767975}, Credible Intervals: {'dice_score': (0.8410063689082878, 0.8947988477227773), 'mIoU': (0.7689636029285709, 0.8325666683238488), 'precision': (0.8641378902260434, 0.9139667507133472), 'recall': (0.864936674792779, 0.9146197834279947)}
Run 7: {'dice_score': tensor(0.8554, device='cuda:0'), 'mIoU': tensor(0.7778, device='cuda:0'), 'precision': 0.8302399626418729, 'recall': 0.9264470255480505}, Credible Intervals: {'dice_score': (0.8410566307373087, 0.891197291317213), 'mIoU': (0.7678573018303843, 0.8271471738601914), 'precision': (0.8568496305300329, 0.9045451468913253), 'recall': (0.8724538072777999, 0.9175222669858735)}
Run 8: {'dice_score': tensor(0.8736, device='cuda:0'), 'mIoU': tensor(0.8026, device='cuda:0'), 'precision': 0.8833175229038642, 'recall': 0.9016128826992013}, Credible Intervals: {'dice_score': (0.8436552261408126, 0.890454159336726), 'mIoU': (0.7704305650242471, 0.8258541784486892), 'precision': (0.8587235536874787, 0.9033235770721821), 'recall': (0.8747873401411401, 0.916837410098257)}
Run 9: {'dice_score': tensor(0.8434, device='cuda:0'), 'mIoU': tensor(0.7802, device='cuda:0'), 'precision': 0.8768066058839616, 'recall': 0.8669699803750174}, Credible Intervals: {'dice_score': (0.8421844231720437, 0.8867018143389642), 'mIoU': (0.7699244373691384, 0.8223921569930502), 'precision': (0.8594823741690316, 0.9016320319137424), 'recall': (0.8725147353978496, 0.9127285250417316)}
Run 10: {'dice_score': tensor(0.8589, device='cuda:0'), 'mIoU': tensor(0.7902, device='cuda:0'), 'precision': 0.9003844638168812, 'recall': 0.882363175604297}, Credible Intervals: {'dice_score': (0.8427255618209993, 0.8850519231827634), 'mIoU': (0.7706420570273859, 0.8204876894108727), 'precision': (0.8626737165339966, 0.9023910080189058), 'recall': (0.8724329249937967, 0.9107668419376302)}
Run 11: {'dice_score': tensor(0.8607, device='cuda:0'), 'mIoU': tensor(0.7909, device='cuda:0'), 'precision': 0.9007827302931594, 'recall': 0.8716718117661109}, Credible Intervals: {'dice_score': (0.8433919247073742, 0.8838009252635157), 'mIoU': (0.7713578134852513, 0.8189327957952759), 'precision': (0.8653601477898112, 0.9030113048819217), 'recall': (0.8713765999164068, 0.9082128392846408)}
Run 12: {'dice_score': tensor(0.8941, device='cuda:0'), 'mIoU': tensor(0.8287, device='cuda:0'), 'precision': 0.9039018595316218, 'recall': 0.9078966230259634}, Credible Intervals: {'dice_score': (0.8469326244371114, 0.8853264343222222), 'mIoU': (0.7752713104896763, 0.8205976669751859), 'precision': (0.8679049946018441, 0.903741992900234), 'recall': (0.8737644229687801, 0.9088323830061771)}
