Run 1: {'dice_score': tensor(0.7721, device='cuda:0'), 'mIoU': tensor(0.6291, device='cuda:0'), 'precision': 0.7316093444824219, 'recall': 0.824654346704483}, Credible Intervals: {'dice_score': (0.551234455499408, 0.9010440536949247), 'mIoU': (0.4108790123329278, 0.8036352797420303), 'precision': (0.5096461379703461, 0.8752916757568966), 'recall': (0.6079431711984007, 0.9318942246782214)}
Run 2: {'dice_score': tensor(0.7712, device='cuda:0'), 'mIoU': tensor(0.6282, device='cuda:0'), 'precision': 0.8076568245887756, 'recall': 0.7447045356035232}, Credible Intervals: {'dice_score': (0.6202337383715364, 0.8739143985592898), 'mIoU': (0.47296505136964295, 0.7610653134994106), 'precision': (0.6180403922193228, 0.8724236406899047), 'recall': (0.6344288798162263, 0.8834153940305673)}
Run 3: {'dice_score': tensor(0.7598, device='cuda:0'), 'mIoU': tensor(0.6145, device='cuda:0'), 'precision': 0.8744912922382355, 'recall': 0.6793383449316025}, Credible Intervals: {'dice_score': (0.6461420927650673, 0.8561783112939801), 'mIoU': (0.49687854727496544, 0.7356775323242706), 'precision': (0.6866810157642342, 0.8848626441963159), 'recall': (0.6265939993712127, 0.8416897594401087)}
Run 4: {'dice_score': tensor(0.7433, device='cuda:0'), 'mIoU': tensor(0.5933, device='cuda:0'), 'precision': 0.8918177008628845, 'recall': 0.6427804291248321}, Credible Intervals: {'dice_score': (0.6572179729977757, 0.8414537290441099), 'mIoU': (0.5063687266955814, 0.7152916302308712), 'precision': (0.7286127659905546, 0.8935692143274867), 'recall': (0.6158978526998771, 0.8089259873438517)}
Run 5: {'dice_score': tensor(0.7822, device='cuda:0'), 'mIoU': tensor(0.6428, device='cuda:0'), 'precision': 0.7940127551555634, 'recall': 0.7782677799463272}, Credible Intervals: {'dice_score': (0.6735474619212514, 0.837827651168825), 'mIoU': (0.5234309866856681, 0.7105497615688521), 'precision': (0.7329502925369532, 0.8827057873494109), 'recall': (0.6395596841107736, 0.8106472094798965)}
Run 6: {'dice_score': tensor(0.7765, device='cuda:0'), 'mIoU': tensor(0.6358, device='cuda:0'), 'precision': 0.8470298290252686, 'recall': 0.7228385657072067}, Credible Intervals: {'dice_score': (0.6841385776971297, 0.8339817255150983), 'mIoU': (0.5344946478567376, 0.7055528922533187), 'precision': (0.746395357241852, 0.8819424704350199), 'recall': (0.6463311809474941, 0.8031658333149824)}
Run 7: {'dice_score': tensor(0.7512, device='cuda:0'), 'mIoU': tensor(0.6025, device='cuda:0'), 'precision': 0.699128407239914, 'recall': 0.8266366273164749}, Credible Intervals: {'dice_score': (0.6882886561276962, 0.8276564454797937), 'mIoU': (0.538132536356707, 0.6970459359194676), 'precision': (0.7330930540287095, 0.8632858938491353), 'recall': (0.6673767594572104, 0.8104519787702924)}
Run 8: {'dice_score': tensor(0.7801, device='cuda:0'), 'mIoU': tensor(0.6404, device='cuda:0'), 'precision': 0.8283170580863952, 'recall': 0.7447561740875244}, Credible Intervals: {'dice_score': (0.6956119698128223, 0.825750572344115), 'mIoU': (0.5460369475068498, 0.6947125269842481), 'precision': (0.7412570363412188, 0.8624849947211177), 'recall': (0.6726352694978179, 0.8066281370795699)}
Run 9: {'dice_score': tensor(0.7437, device='cuda:0'), 'mIoU': tensor(0.5938, device='cuda:0'), 'precision': 0.8828313529491425, 'recall': 0.6498048543930054}, Credible Intervals: {'dice_score': (0.6972156019071029, 0.8204617660244601), 'mIoU': (0.5472079751180043, 0.6877682662877951), 'precision': (0.7544329834710428, 0.866925634955079), 'recall': (0.6658246535190578, 0.7939081104804351)}
Run 10: {'dice_score': tensor(0.7651, device='cuda:0'), 'mIoU': tensor(0.6201, device='cuda:0'), 'precision': 0.7313177168369294, 'recall': 0.8115233987569809}, Credible Intervals: {'dice_score': (0.7009673757055168, 0.8179471145048566), 'mIoU': (0.5510106492755491, 0.6844754082094122), 'precision': (0.7485897062731879, 0.8572061620603753), 'recall': (0.677642433995303, 0.7981129925916789)}
Run 11: {'dice_score': tensor(0.7501, device='cuda:0'), 'mIoU': tensor(0.6020, device='cuda:0'), 'precision': 0.8739490300416947, 'recall': 0.6631343945860863}, Credible Intervals: {'dice_score': (0.7027223862003544, 0.8145223042436527), 'mIoU': (0.5526128378511185, 0.6800625750454786), 'precision': (0.7580563685453336, 0.8604367052299581), 'recall': (0.6732338206497904, 0.7891725149141041)}
