Run 1: {'dice_score': tensor(0.7949, device='cuda:0'), 'mIoU': tensor(0.6609, device='cuda:0'), 'precision': 0.8451985031366348, 'recall': 0.7582463532686233}, Credible Intervals: {'dice_score': (0.5754781576512287, 0.9148434616700271), 'mIoU': (0.4406274744185741, 0.8267919507629569), 'precision': (0.6310786261341501, 0.943020970302965), 'recall': (0.5368306260101914, 0.8924208065598317)}
Run 2: {'dice_score': tensor(0.7976, device='cuda:0'), 'mIoU': tensor(0.6640, device='cuda:0'), 'precision': 0.8304133683443069, 'recall': 0.773152232170105}, Credible Intervals: {'dice_score': (0.6472041836565859, 0.8917447251076303), 'mIoU': (0.5065098378545697, 0.7889918107213), 'precision': (0.6941093452750879, 0.9204391119236799), 'recall': (0.6137890467635335, 0.8695169795079976)}
Run 3: {'dice_score': tensor(0.7871, device='cuda:0'), 'mIoU': tensor(0.6506, device='cuda:0'), 'precision': 0.8309392660856247, 'recall': 0.7577591985464096}, Credible Intervals: {'dice_score': (0.6740528607185756, 0.8761310548001849), 'mIoU': (0.5316656134073012, 0.7657316594998359), 'precision': (0.7216126608428097, 0.9079919215296369), 'recall': (0.6411075055388717, 0.8524864348398938)}
Run 4: {'dice_score': tensor(0.7925, device='cuda:0'), 'mIoU': tensor(0.6576, device='cuda:0'), 'precision': 0.8387049436569214, 'recall': 0.7591440826654434}, Credible Intervals: {'dice_score': (0.6914433105556165, 0.8671226023128886), 'mIoU': (0.5488438168997494, 0.7528333325492254), 'precision': (0.7398498871744104, 0.9012465443871877), 'recall': (0.6577217718623776, 0.8418401890762446)}
Run 5: {'dice_score': tensor(0.8007, device='cuda:0'), 'mIoU': tensor(0.6685, device='cuda:0'), 'precision': 0.8294664144515991, 'recall': 0.781464034318924}, Credible Intervals: {'dice_score': (0.7049026248307149, 0.8619569712844282), 'mIoU': (0.5628030913864502, 0.7456816948214862), 'precision': (0.7498109884474448, 0.8947671792751103), 'recall': (0.673784449898161, 0.8380135214702027)}
Run 6: {'dice_score': tensor(0.7969, device='cuda:0'), 'mIoU': tensor(0.6629, device='cuda:0'), 'precision': 0.8232994645833969, 'recall': 0.7782551109790802}, Credible Intervals: {'dice_score': (0.7138832176000576, 0.857356267150217), 'mIoU': (0.5719948768428216, 0.7393039338026812), 'precision': (0.7559624632823266, 0.88896945789018), 'recall': (0.684648725675683, 0.8343892847522099)}
Run 7: {'dice_score': tensor(0.7920, device='cuda:0'), 'mIoU': tensor(0.6567, device='cuda:0'), 'precision': 0.8447289735078811, 'recall': 0.7514725238084793}, Credible Intervals: {'dice_score': (0.7199803600881968, 0.8530412908938219), 'mIoU': (0.5781795125132758, 0.7334159408999212), 'precision': (0.7642050863314739, 0.8869321017819394), 'recall': (0.6887688877653692, 0.8280474152261916)}
Run 8: {'dice_score': tensor(0.7941, device='cuda:0'), 'mIoU': tensor(0.6599, device='cuda:0'), 'precision': 0.8287699550390244, 'recall': 0.7716112971305847}, Credible Intervals: {'dice_score': (0.7251579291756061, 0.8497294582403663), 'mIoU': (0.5835931186570156, 0.7290016315926642), 'precision': (0.7684452498279055, 0.8834845659125043), 'recall': (0.6948911801899411, 0.8251568282106021)}
Run 9: {'dice_score': tensor(0.7780, device='cuda:0'), 'mIoU': tensor(0.6402, device='cuda:0'), 'precision': 0.8622362852096558, 'recall': 0.7207330107688904}, Credible Intervals: {'dice_score': (0.7274719444960414, 0.8453635496186241), 'mIoU': (0.5858275809510072, 0.7232737107517762), 'precision': (0.7760694757526951, 0.8837574633242054), 'recall': (0.6938556611491067, 0.8176534404832214)}
Run 10: {'dice_score': tensor(0.7939, device='cuda:0'), 'mIoU': tensor(0.6591, device='cuda:0'), 'precision': 0.8519395917654038, 'recall': 0.749626350402832}, Credible Intervals: {'dice_score': (0.7312145432353172, 0.8430857638386821), 'mIoU': (0.5897534935803994, 0.720244943384031), 'precision': (0.781168494791785, 0.8829851150788481), 'recall': (0.6963017961225872, 0.8140099897231629)}
Run 11: {'dice_score': tensor(0.7537, device='cuda:0'), 'mIoU': tensor(0.6110, device='cuda:0'), 'precision': 0.8866318613290787, 'recall': 0.6696820870041847}, Credible Intervals: {'dice_score': (0.7304821713652272, 0.8378429596599611), 'mIoU': (0.5886353437324945, 0.7135018422490544), 'precision': (0.7889277776991143, 0.8849764197904326), 'recall': (0.6907482191591982, 0.8042976993019909)}
Run 12: {'dice_score': tensor(0.7925, device='cuda:0'), 'mIoU': tensor(0.6572, device='cuda:0'), 'precision': 0.8457138001918793, 'recall': 0.7513336718082428}, Credible Intervals: {'dice_score': (0.7334572127492129, 0.8362340504561082), 'mIoU': (0.5917735593056637, 0.7113701246178719), 'precision': (0.7917146337597599, 0.8836298197740233), 'recall': (0.6934520301850882, 0.8022215171257968)}
Run 13: {'dice_score': tensor(0.7509, device='cuda:0'), 'mIoU': tensor(0.6061, device='cuda:0'), 'precision': 0.8924745947122574, 'recall': 0.661020989716053}, Credible Intervals: {'dice_score': (0.7326378279548812, 0.8319078857526022), 'mIoU': (0.5905084338343127, 0.7057498572297818), 'precision': (0.7980972790799, 0.8855563332996683), 'recall': (0.6885122003640219, 0.7940048576316241)}
Run 14: {'dice_score': tensor(0.7941, device='cuda:0'), 'mIoU': tensor(0.6595, device='cuda:0'), 'precision': 0.8312351673841476, 'recall': 0.7664810001850129}, Credible Intervals: {'dice_score': (0.7353068582710238, 0.8309029355806917), 'mIoU': (0.593403299616394, 0.7044522334236396), 'precision': (0.7988170390439425, 0.8833463514323907), 'recall': (0.6922919431279405, 0.7937803990028274)}
Run 15: {'dice_score': tensor(0.7913, device='cuda:0'), 'mIoU': tensor(0.6557, device='cuda:0'), 'precision': 0.8279383331537247, 'recall': 0.7663412272930146}, Credible Intervals: {'dice_score': (0.7374824438957663, 0.8298123496206128), 'mIoU': (0.5957244089097617, 0.70302488726389), 'precision': (0.7992577600047801, 0.881177357169601), 'recall': (0.6956170836109533, 0.7935240122513025)}
Run 16: {'dice_score': tensor(0.7899, device='cuda:0'), 'mIoU': tensor(0.6550, device='cuda:0'), 'precision': 0.8583160996437073, 'recall': 0.7410590708255768}, Credible Intervals: {'dice_score': (0.7393414572880177, 0.8287316567213265), 'mIoU': (0.5977675427000982, 0.701678161803688), 'precision': (0.8017621827210343, 0.8809094126495608), 'recall': (0.6969180712615679, 0.7917904828297737)}
