Run 1: {'dice_score': tensor(0.7659, device='cuda:0'), 'mIoU': tensor(0.6221, device='cuda:0'), 'precision': 0.7912203043699264, 'recall': 0.7569073602557183}, Credible Intervals: {'dice_score': (0.5447329873019593, 0.8971907527090104), 'mIoU': (0.4044289064064532, 0.7984305186608146), 'precision': (0.5714973707160034, 0.9126395773794649), 'recall': (0.5354473199411847, 0.8915761042146721)}
Run 2: {'dice_score': tensor(0.7738, device='cuda:0'), 'mIoU': tensor(0.6327, device='cuda:0'), 'precision': 0.8652249664068222, 'recall': 0.708850309252739}, Credible Intervals: {'dice_score': (0.6182712601755636, 0.8725808393868509), 'mIoU': (0.47170017533844183, 0.7599869091784294), 'precision': (0.6831124544275945, 0.9139875448787138), 'recall': (0.5788224816987554, 0.8447682135842483)}
Run 3: {'dice_score': tensor(0.7895, device='cuda:0'), 'mIoU': tensor(0.6532, device='cuda:0'), 'precision': 0.8363640516996383, 'recall': 0.7560707926750183}, Credible Intervals: {'dice_score': (0.6556070999127865, 0.8630432369751171), 'mIoU': (0.5089310334502686, 0.7462223212504104), 'precision': (0.7163792421489559, 0.9046264216597462), 'recall': (0.6170266762724324, 0.8344496808656172)}
Run 4: {'dice_score': tensor(0.7729, device='cuda:0'), 'mIoU': tensor(0.6318, device='cuda:0'), 'precision': 0.7972707241773606, 'recall': 0.7638413086533546}, Credible Intervals: {'dice_score': (0.6722974343880588, 0.8529112816679641), 'mIoU': (0.5251320112140754, 0.7320643506146519), 'precision': (0.7242493692488897, 0.89054684368453), 'recall': (0.6409059433418822, 0.8288068755611202)}
Run 5: {'dice_score': tensor(0.7595, device='cuda:0'), 'mIoU': tensor(0.6149, device='cuda:0'), 'precision': 0.8836516380310059, 'recall': 0.6757503494620323}, Credible Intervals: {'dice_score': (0.6806616215495416, 0.8433845859252311), 'mIoU': (0.5328757092985916, 0.7190859563873757), 'precision': (0.7495873959756824, 0.8946093647136663), 'recall': (0.6377946119058882, 0.8092079492279233)}
Run 6: {'dice_score': tensor(0.7851, device='cuda:0'), 'mIoU': tensor(0.6471, device='cuda:0'), 'precision': 0.8450566560029984, 'recall': 0.7407718867063522}, Credible Intervals: {'dice_score': (0.6916009781184671, 0.8399207557821327), 'mIoU': (0.5443160000213492, 0.71448871796021), 'precision': (0.7598439196440193, 0.8917917908243168), 'recall': (0.648025993107628, 0.8045723649053602)}
Run 7: {'dice_score': tensor(0.7577, device='cuda:0'), 'mIoU': tensor(0.6118, device='cuda:0'), 'precision': 0.7848535209894181, 'recall': 0.7546607539057731}, Credible Intervals: {'dice_score': (0.6956604491830564, 0.833637136177832), 'mIoU': (0.5479099547717088, 0.7060234135676067), 'precision': (0.7579843354600193, 0.8822821897103468), 'recall': (0.6579281058609576, 0.8025661595536304)}
Run 8: {'dice_score': tensor(0.7703, device='cuda:0'), 'mIoU': tensor(0.6272, device='cuda:0'), 'precision': 0.7825006067752838, 'recall': 0.7690260827541351}, Credible Intervals: {'dice_score': (0.7007279024645097, 0.829953065827701), 'mIoU': (0.5529232328568792, 0.7010654944635772), 'precision': (0.7566401324815908, 0.8744537111581507), 'recall': (0.6675899799443805, 0.8023763403289816)}
Run 9: {'dice_score': tensor(0.7869, device='cuda:0'), 'mIoU': tensor(0.6499, device='cuda:0'), 'precision': 0.8119331270456314, 'recall': 0.774676214158535}, Credible Intervals: {'dice_score': (0.7068766336825217, 0.8284897975349159), 'mIoU': (0.5596636137265041, 0.6993155898767296), 'precision': (0.7594488556599037, 0.8708667500843809), 'recall': (0.6760074271279618, 0.8025981911147504)}
Run 10: {'dice_score': tensor(0.7578, device='cuda:0'), 'mIoU': tensor(0.6120, device='cuda:0'), 'precision': 0.8897920161485672, 'recall': 0.6668997898697853}, Credible Intervals: {'dice_score': (0.7088622359893326, 0.8245739071765819), 'mIoU': (0.5613976726555688, 0.6941479988716577), 'precision': (0.7703954030022832, 0.8745668754668863), 'recall': (0.6715423392872218, 0.7928648935787626)}
Run 11: {'dice_score': tensor(0.7357, device='cuda:0'), 'mIoU': tensor(0.5848, device='cuda:0'), 'precision': 0.8837917625904084, 'recall': 0.6379779934883117}, Credible Intervals: {'dice_score': (0.7084899682797146, 0.8194124261372528), 'mIoU': (0.5604613131930516, 0.6874075021329776), 'precision': (0.7788555149421535, 0.8770641124102847), 'recall': (0.6653112143731446, 0.7822664674417283)}
Run 12: {'dice_score': tensor(0.7703, device='cuda:0'), 'mIoU': tensor(0.6296, device='cuda:0'), 'precision': 0.8575439482927323, 'recall': 0.7099712669849396}, Credible Intervals: {'dice_score': (0.7113623536216609, 0.8175826174342319), 'mIoU': (0.5635978457756213, 0.6851939951716592), 'precision': (0.7835863338908013, 0.8771883992109478), 'recall': (0.6665486000680195, 0.7787655048658565)}
Run 13: {'dice_score': tensor(0.7537, device='cuda:0'), 'mIoU': tensor(0.6069, device='cuda:0'), 'precision': 0.8714266628026962, 'recall': 0.6724452018737793}, Credible Intervals: {'dice_score': (0.712522226150401, 0.8147851757024298), 'mIoU': (0.5645783837051571, 0.6815566008559266), 'precision': (0.7888256024719968, 0.8781721330916936), 'recall': (0.6646760650280472, 0.7730294071475577)}
Run 14: {'dice_score': tensor(0.7588, device='cuda:0'), 'mIoU': tensor(0.6149, device='cuda:0'), 'precision': 0.8783151000738144, 'recall': 0.679344867169857}, Credible Intervals: {'dice_score': (0.713978020547545, 0.8126412543189049), 'mIoU': (0.5660878187183164, 0.6789021771201036), 'precision': (0.7939066968914967, 0.8794074830424444), 'recall': (0.663673092019496, 0.7684675488685921)}
Run 15: {'dice_score': tensor(0.7819, device='cuda:0'), 'mIoU': tensor(0.6431, device='cuda:0'), 'precision': 0.8311307251453399, 'recall': 0.7464480966329574}, Credible Intervals: {'dice_score': (0.7169342749765265, 0.8121358113606401), 'mIoU': (0.5693711943380886, 0.6783292510237964), 'precision': (0.7949202053438229, 0.8776682642510896), 'recall': (0.6675331015390257, 0.7686070662709974)}
