Run 1: {'dice_score': tensor(0.8449, device='cuda:0'), 'mIoU': tensor(0.7652, device='cuda:0'), 'precision': 0.8523125568094844, 'recall': 0.8830129496858813}, Credible Intervals: {'dice_score': (0.7610410601726453, 0.902616950556511), 'mIoU': (0.6729290457986358, 0.8373423816273328), 'precision': (0.7695475654935139, 0.9084601701669373), 'recall': (0.8052036682305419, 0.9319013861939123)}
Run 2: {'dice_score': tensor(0.8272, device='cuda:0'), 'mIoU': tensor(0.7421, device='cuda:0'), 'precision': 0.8415100947581231, 'recall': 0.8788686037535303}, Credible Intervals: {'dice_score': (0.7783517966680733, 0.8807947169645239), 'mIoU': (0.6893583953628302, 0.8081224305474554), 'precision': (0.7904045980142864, 0.8901130968788611), 'recall': (0.8286335965830276, 0.9186423217256354)}
Run 3: {'dice_score': tensor(0.8260, device='cuda:0'), 'mIoU': tensor(0.7401, device='cuda:0'), 'precision': 0.8411055348441004, 'recall': 0.8589024590328336}, Credible Intervals: {'dice_score': (0.7862249765346248, 0.8705858714983941), 'mIoU': (0.697041761860917, 0.7947762157514121), 'precision': (0.7996183569256748, 0.8814683468985373), 'recall': (0.831147263636755, 0.9064427418074282)}
Run 4: {'dice_score': tensor(0.8219, device='cuda:0'), 'mIoU': tensor(0.7415, device='cuda:0'), 'precision': 0.8086856199919384, 'recall': 0.8871176718326339}, Credible Intervals: {'dice_score': (0.790021533190733, 0.8635659375256903), 'mIoU': (0.7023654900558085, 0.7872968804376911), 'precision': (0.7963956757882664, 0.868920360984147), 'recall': (0.8411088305891833, 0.9055587186752441)}
Run 5: {'dice_score': tensor(0.8667, device='cuda:0'), 'mIoU': tensor(0.7923, device='cuda:0'), 'precision': 0.8862142872810364, 'recall': 0.885118900835514}, Credible Intervals: {'dice_score': (0.8023766269413083, 0.867033797761859), 'mIoU': (0.7166988626108557, 0.7917979345134176), 'precision': (0.8116593742033156, 0.874915617894922), 'recall': (0.847019384904429, 0.9043279788205738)}
Run 6: {'dice_score': tensor(0.7948, device='cuda:0'), 'mIoU': tensor(0.7126, device='cuda:0'), 'precision': 0.8978214730322361, 'recall': 0.7879907591997747}, Credible Intervals: {'dice_score': (0.7980742375707842, 0.8581114099093309), 'mIoU': (0.7127175052058166, 0.7819744380180169), 'precision': (0.8241157003946189, 0.880521210214192), 'recall': (0.8336781696602353, 0.8886312603604741)}
Run 7: {'dice_score': tensor(0.8514, device='cuda:0'), 'mIoU': tensor(0.7721, device='cuda:0'), 'precision': 0.8785009256005287, 'recall': 0.872519816160202}, Credible Intervals: {'dice_score': (0.8038054742878443, 0.8590011814203469), 'mIoU': (0.7189374927361109, 0.7827930098574013), 'precision': (0.8301818853443389, 0.8818950774991718), 'recall': (0.8374325461683775, 0.8881068380078357)}
Run 8: {'dice_score': tensor(0.8266, device='cuda:0'), 'mIoU': tensor(0.7458, device='cuda:0'), 'precision': 0.8723556791245938, 'recall': 0.8473966188269191}, Credible Intervals: {'dice_score': (0.8049344541114744, 0.8566713110867742), 'mIoU': (0.7203371798335749, 0.7801451269493008), 'precision': (0.8340088671789886, 0.8821281213434797), 'recall': (0.8369991910330453, 0.8847160397494981)}
Run 9: {'dice_score': tensor(0.8618, device='cuda:0'), 'mIoU': tensor(0.7853, device='cuda:0'), 'precision': 0.8805081912875176, 'recall': 0.8941671746969223}, Credible Intervals: {'dice_score': (0.8100334714657069, 0.8584336911183668), 'mIoU': (0.7260688413889469, 0.7821780945047587), 'precision': (0.8380233013643639, 0.8830791398076376), 'recall': (0.8422911887496732, 0.8867946128484265)}
Run 10: {'dice_score': tensor(0.8435, device='cuda:0'), 'mIoU': tensor(0.7579, device='cuda:0'), 'precision': 0.8454385945945978, 'recall': 0.8985307976603508}, Credible Intervals: {'dice_score': (0.8122433001179699, 0.8580739855647522), 'mIoU': (0.7278882185295814, 0.7811054223825097), 'precision': (0.8375670352291804, 0.8805248539976115), 'recall': (0.8470357815630242, 0.8888214751289716)}
Run 11: {'dice_score': tensor(0.8490, device='cuda:0'), 'mIoU': tensor(0.7713, device='cuda:0'), 'precision': 0.8821345936582514, 'recall': 0.8575977841125227}, Credible Intervals: {'dice_score': (0.8146252649119876, 0.8582021815243007), 'mIoU': (0.7306936038443984, 0.7813387586983849), 'precision': (0.840779529193751, 0.8814956679797069), 'recall': (0.84700417371265, 0.8869815582208029)}
