Run 1: {'dice_score': tensor(0.8869, device='cuda:0'), 'mIoU': tensor(0.8159, device='cuda:0'), 'precision': 0.8703190636748852, 'recall': 0.928244950185845}, Credible Intervals: {'dice_score': (0.8097633040213177, 0.9347659110657481), 'mIoU': (0.7284343352435423, 0.8794213523732519), 'precision': (0.7903293434083419, 0.9223391898558038), 'recall': (0.8601899518519032, 0.964016152265702)}
Run 2: {'dice_score': tensor(0.8701, device='cuda:0'), 'mIoU': tensor(0.7936, device='cuda:0'), 'precision': 0.8748226301372051, 'recall': 0.8988372612831881}, Credible Intervals: {'dice_score': (0.8258371384628236, 0.9166134867603886), 'mIoU': (0.7441394323576453, 0.853612941212963), 'precision': (0.8191403092041152, 0.9117153765527641), 'recall': (0.8663193555750451, 0.9449154376589723)}
Run 3: {'dice_score': tensor(0.8657, device='cuda:0'), 'mIoU': tensor(0.7958, device='cuda:0'), 'precision': 0.8676199792382868, 'recall': 0.906696859012673}, Credible Intervals: {'dice_score': (0.8318572882243535, 0.906993737410484), 'mIoU': (0.7528709716860278, 0.8428692821725712), 'precision': (0.8281777722480197, 0.9041325445087486), 'recall': (0.8736176543948959, 0.9383385232326961)}
Run 4: {'dice_score': tensor(0.8670, device='cuda:0'), 'mIoU': tensor(0.7940, device='cuda:0'), 'precision': 0.8900058356388297, 'recall': 0.8806937602267958}, Credible Intervals: {'dice_score': (0.8361174468293213, 0.901556904382764), 'mIoU': (0.7577708278383027, 0.836044217312259), 'precision': (0.8396964102513516, 0.9044287988075298), 'recall': (0.8707019452003608, 0.9287378956082111)}
Run 5: {'dice_score': tensor(0.8649, device='cuda:0'), 'mIoU': tensor(0.7980, device='cuda:0'), 'precision': 0.8978361618765931, 'recall': 0.86584724174463}, Credible Intervals: {'dice_score': (0.8386611228747554, 0.8974703917392216), 'mIoU': (0.7620873966012958, 0.8321710707620877), 'precision': (0.8486768973640388, 0.9056802642066408), 'recall': (0.8661931508491865, 0.9198042959968944)}
Run 6: {'dice_score': tensor(0.8748, device='cuda:0'), 'mIoU': tensor(0.8074, device='cuda:0'), 'precision': 0.8897306235189697, 'recall': 0.9007056303403338}, Credible Intervals: {'dice_score': (0.8423897561934901, 0.8959582994504144), 'mIoU': (0.7669056686252661, 0.830742995995122), 'precision': (0.8533928023718242, 0.9051226192768381), 'recall': (0.8698934140443292, 0.9186576452260728)}
Run 7: {'dice_score': tensor(0.8738, device='cuda:0'), 'mIoU': tensor(0.8029, device='cuda:0'), 'precision': 0.8809909018922454, 'recall': 0.9054477757321097}, Credible Intervals: {'dice_score': (0.845067717609868, 0.8946061811241419), 'mIoU': (0.7698698400961858, 0.8289483118083961), 'precision': (0.8555522710621487, 0.9034563578022021), 'recall': (0.8734134319754416, 0.9183127849289349)}
Run 8: {'dice_score': tensor(0.8895, device='cuda:0'), 'mIoU': tensor(0.8210, device='cuda:0'), 'precision': 0.8674897885322571, 'recall': 0.9433300057053566}, Credible Intervals: {'dice_score': (0.8492779490126044, 0.8952766249285647), 'mIoU': (0.774595804679348, 0.8296056246305845), 'precision': (0.8554647611304247, 0.9005552766308196), 'recall': (0.8812933008398336, 0.9222426850828565)}
Run 9: {'dice_score': tensor(0.8629, device='cuda:0'), 'mIoU': tensor(0.7906, device='cuda:0'), 'precision': 0.870945910513401, 'recall': 0.904433289106319}, Credible Intervals: {'dice_score': (0.8494694487505929, 0.8930158832607312), 'mIoU': (0.7748284782078017, 0.8268395150676413), 'precision': (0.8558996510810806, 0.8985576887716185), 'recall': (0.8827698926979843, 0.9213561599528318)}
Run 10: {'dice_score': tensor(0.8464, device='cuda:0'), 'mIoU': tensor(0.7752, device='cuda:0'), 'precision': 0.8829624131543096, 'recall': 0.870918750003664}, Credible Intervals: {'dice_score': (0.8479272769011802, 0.8895996189614697), 'mIoU': (0.7734872943930073, 0.8230830394897143), 'precision': (0.85759591328697, 0.8980039737455962), 'recall': (0.8803867677398637, 0.9175348113980688)}
Run 11: {'dice_score': tensor(0.8648, device='cuda:0'), 'mIoU': tensor(0.7875, device='cuda:0'), 'precision': 0.8416008597612381, 'recall': 0.9379782018171049}, Credible Intervals: {'dice_score': (0.8485042525014996, 0.8882999868060653), 'mIoU': (0.7736127442065928, 0.8209992395825627), 'precision': (0.8550263296991364, 0.8940153059432066), 'recall': (0.885058317103933, 0.9199325054742157)}
