Run 1: {'dice_score': tensor(0.8346, device='cuda:0'), 'mIoU': tensor(0.7578, device='cuda:0'), 'precision': 0.8721725249400964, 'recall': 0.8606833294440805}, Credible Intervals: {'dice_score': (0.7494107044133964, 0.8944846120057999), 'mIoU': (0.6650187514421659, 0.8311042710764092), 'precision': (0.7924889217565695, 0.9237475209450711), 'recall': (0.7791651613235941, 0.9149551564191023)}
Run 2: {'dice_score': tensor(0.8505, device='cuda:0'), 'mIoU': tensor(0.7788, device='cuda:0'), 'precision': 0.8931769070029258, 'recall': 0.8793519772054811}, Credible Intervals: {'dice_score': (0.7855748876820227, 0.8863962941881954), 'mIoU': (0.704973232725481, 0.8213151637830206), 'precision': (0.8306085069046747, 0.9200691056789978), 'recall': (0.8162570337365942, 0.9095898092032441)}
Run 3: {'dice_score': tensor(0.8386, device='cuda:0'), 'mIoU': tensor(0.7641, device='cuda:0'), 'precision': 0.8608890303090974, 'recall': 0.876304404159184}, Credible Intervals: {'dice_score': (0.7955344680051811, 0.8781661879327778), 'mIoU': (0.7157712005134493, 0.8111273665271851), 'precision': (0.8331692709137763, 0.9080104408856992), 'recall': (0.8295015451042779, 0.9051635605467552)}
Run 4: {'dice_score': tensor(0.8352, device='cuda:0'), 'mIoU': tensor(0.7608, device='cuda:0'), 'precision': 0.8879753613432929, 'recall': 0.8472880462101325}, Credible Intervals: {'dice_score': (0.8005145731629173, 0.8723642755265053), 'mIoU': (0.7213734453312598, 0.8042116147569839), 'precision': (0.8428468300332714, 0.9069463652658944), 'recall': (0.8289639383279941, 0.8957800981724545)}
Run 5: {'dice_score': tensor(0.8361, device='cuda:0'), 'mIoU': tensor(0.7572, device='cuda:0'), 'precision': 0.8782607433199883, 'recall': 0.8536371295758614}, Credible Intervals: {'dice_score': (0.8041825040248468, 0.8685719015228321), 'mIoU': (0.7245287238995062, 0.7988371495203563), 'precision': (0.846900090981084, 0.9042305530334747), 'recall': (0.8305348930869487, 0.8907443889391126)}
Run 6: {'dice_score': tensor(0.8406, device='cuda:0'), 'mIoU': tensor(0.7575, device='cuda:0'), 'precision': 0.8585116696460713, 'recall': 0.8759025289363584}, Credible Intervals: {'dice_score': (0.8076977476986783, 0.8664450434814939), 'mIoU': (0.7270127449970158, 0.7949726510085856), 'precision': (0.846276546489189, 0.8992074214123292), 'recall': (0.8358618131786895, 0.8904735053359307)}
Run 7: {'dice_score': tensor(0.8521, device='cuda:0'), 'mIoU': tensor(0.7793, device='cuda:0'), 'precision': 0.9077019867177899, 'recall': 0.8480378685997225}, Credible Intervals: {'dice_score': (0.8121297952053597, 0.8662739792470211), 'mIoU': (0.7322377729754781, 0.7949556433227264), 'precision': (0.8536015117275337, 0.9018165246347576), 'recall': (0.8355443574564617, 0.8864928349953055)}
Run 8: {'dice_score': tensor(0.8230, device='cuda:0'), 'mIoU': tensor(0.7493, device='cuda:0'), 'precision': 0.8986540790070278, 'recall': 0.8308682072422288}, Credible Intervals: {'dice_score': (0.8117121692393383, 0.8626509015774955), 'mIoU': (0.7324011456587066, 0.7912476656790405), 'precision': (0.8579566006048568, 0.9026728331206448), 'recall': (0.8331515501148383, 0.8813850606376055)}
Run 9: {'dice_score': tensor(0.7590, device='cuda:0'), 'mIoU': tensor(0.6605, device='cuda:0'), 'precision': 0.6956886936793727, 'recall': 0.9448269939528204}, Credible Intervals: {'dice_score': (0.804001845752927, 0.8530646591278817), 'mIoU': (0.7224206451492579, 0.7787993734198981), 'precision': (0.8373161615074574, 0.8824623721422904), 'recall': (0.8448736833342955, 0.8890369131897053)}
Run 10: {'dice_score': tensor(0.8715, device='cuda:0'), 'mIoU': tensor(0.7990, device='cuda:0'), 'precision': 0.8802817071121103, 'recall': 0.9004225400195814}, Credible Intervals: {'dice_score': (0.8097688246411399, 0.8558614591628773), 'mIoU': (0.7288534376065303, 0.7820019940622569), 'precision': (0.8406281598475867, 0.883213284596557), 'recall': (0.8495573066324322, 0.8910210190106316)}
Run 11: {'dice_score': tensor(0.8690, device='cuda:0'), 'mIoU': tensor(0.7945, device='cuda:0'), 'precision': 0.8972036555522298, 'recall': 0.8778828147159315}, Credible Intervals: {'dice_score': (0.8142878833637052, 0.8578993249670628), 'mIoU': (0.7337510714532081, 0.7841859088224474), 'precision': (0.8450086210260379, 0.8852254524329446), 'recall': (0.8512472313695717, 0.8907070714193814)}
Run 12: {'dice_score': tensor(0.8445, device='cuda:0'), 'mIoU': tensor(0.7732, device='cuda:0'), 'precision': 0.8526805285176203, 'recall': 0.883349895343376}, Credible Intervals: {'dice_score': (0.8159412735100113, 0.8576355349559105), 'mIoU': (0.7360422649489462, 0.7842577589612112), 'precision': (0.8447629357602991, 0.8834052322317141), 'recall': (0.8531734409591786, 0.8908364559900166)}
Run 13: {'dice_score': tensor(0.8581, device='cuda:0'), 'mIoU': tensor(0.7815, device='cuda:0'), 'precision': 0.8884917162358761, 'recall': 0.8811485874688161}, Credible Intervals: {'dice_score': (0.8184703661461011, 0.8583748846502111), 'mIoU': (0.7386731900030248, 0.7848956567441344), 'precision': (0.8474969724154908, 0.884415109895065), 'recall': (0.8546510302369206, 0.8907614889721025)}
Run 14: {'dice_score': tensor(0.8300, device='cuda:0'), 'mIoU': tensor(0.7562, device='cuda:0'), 'precision': 0.8521888559341174, 'recall': 0.8778049900483128}, Credible Intervals: {'dice_score': (0.8185657482228911, 0.857084014178752), 'mIoU': (0.7391035340515533, 0.7836763131335779), 'precision': (0.8471284012774105, 0.8828224837223131), 'recall': (0.8556880898815858, 0.8904508864485108)}
Run 15: {'dice_score': tensor(0.8759, device='cuda:0'), 'mIoU': tensor(0.8043, device='cuda:0'), 'precision': 0.8960323423327707, 'recall': 0.8853615513549543}, Credible Intervals: {'dice_score': (0.8218684206971105, 0.8588495455086145), 'mIoU': (0.7427969442741661, 0.7856848536850363), 'precision': (0.849907876996852, 0.8841732753626249), 'recall': (0.8571378619491421, 0.8906358830742436)}
Run 16: {'dice_score': tensor(0.8444, device='cuda:0'), 'mIoU': tensor(0.7665, device='cuda:0'), 'precision': 0.8207299811798763, 'recall': 0.924651103030274}, Credible Intervals: {'dice_score': (0.822717347760987, 0.8585064993250522), 'mIoU': (0.7436217879961949, 0.7851436170925606), 'precision': (0.8474093988712316, 0.8808970434565015), 'recall': (0.8610087048331381, 0.8930952207043601)}
Run 17: {'dice_score': tensor(0.8365, device='cuda:0'), 'mIoU': tensor(0.7630, device='cuda:0'), 'precision': 0.8699775715463329, 'recall': 0.8501435731871182}, Credible Intervals: {'dice_score': (0.8229972802932932, 0.8577439209967769), 'mIoU': (0.744153663269583, 0.7844445375986058), 'precision': (0.848265980131734, 0.8807241619597762), 'recall': (0.8598197646867378, 0.8911257511256461)}
Run 18: {'dice_score': tensor(0.8173, device='cuda:0'), 'mIoU': tensor(0.7456, device='cuda:0'), 'precision': 0.8777155845751665, 'recall': 0.8387992932591589}, Credible Intervals: {'dice_score': (0.8221494137002272, 0.8560309512917655), 'mIoU': (0.7436539362251027, 0.7828724869014971), 'precision': (0.8494901821398938, 0.8809657750481169), 'recall': (0.8581190133432547, 0.8887605102172985)}
Run 19: {'dice_score': tensor(0.8287, device='cuda:0'), 'mIoU': tensor(0.7494, device='cuda:0'), 'precision': 0.84541563520877, 'recall': 0.8819573746727205}, Credible Intervals: {'dice_score': (0.8220284779976678, 0.8550553836934409), 'mIoU': (0.743428259883716, 0.7816441544671004), 'precision': (0.8488173762373563, 0.8795573715157083), 'recall': (0.8589957448399514, 0.8887785700616544)}
