Run 1: {'dice_score': tensor(0.8257, device='cuda:0'), 'mIoU': tensor(0.7474, device='cuda:0'), 'precision': 0.8648118268529613, 'recall': 0.848450599350186}, Credible Intervals: {'dice_score': (0.7394685152259424, 0.8874068017168172), 'mIoU': (0.6539036006883812, 0.8222432783145921), 'precision': (0.7839358787801933, 0.91813144304259), 'recall': (0.7651342562797394, 0.9054399217049814)}
Run 2: {'dice_score': tensor(0.8524, device='cuda:0'), 'mIoU': tensor(0.7740, device='cuda:0'), 'precision': 0.839125273246703, 'recall': 0.9130443784700133}, Credible Intervals: {'dice_score': (0.7817010409161942, 0.8833983884500978), 'mIoU': (0.6969211936618596, 0.8145335631322875), 'precision': (0.7960279069130329, 0.8944107680533391), 'recall': (0.8284136273986666, 0.9184830937559947)}
Run 3: {'dice_score': tensor(0.8499, device='cuda:0'), 'mIoU': tensor(0.7754, device='cuda:0'), 'precision': 0.9017728690232212, 'recall': 0.8429160497303478}, Credible Intervals: {'dice_score': (0.7971006536485552, 0.8794342811965314), 'mIoU': (0.7144421921352686, 0.8099740370605072), 'precision': (0.8255718456086758, 0.9020975881855443), 'recall': (0.8250922566662082, 0.9017223156016356)}
Run 4: {'dice_score': tensor(0.8545, device='cuda:0'), 'mIoU': tensor(0.7785, device='cuda:0'), 'precision': 0.885224999539009, 'recall': 0.8632173639687225}, Credible Intervals: {'dice_score': (0.8068903422476147, 0.8776695744355372), 'mIoU': (0.7250292712525366, 0.8074428375351831), 'precision': (0.8364453976663092, 0.9018205814864942), 'recall': (0.8300582054464737, 0.8966668569420707)}
Run 5: {'dice_score': tensor(0.8290, device='cuda:0'), 'mIoU': tensor(0.7534, device='cuda:0'), 'precision': 0.8511433392128387, 'recall': 0.8567334787371712}, Credible Intervals: {'dice_score': (0.8077143461162876, 0.8715734454178355), 'mIoU': (0.7266430698761053, 0.8007328859430914), 'precision': (0.8359200207986587, 0.8952079071991981), 'recall': (0.8320737547075149, 0.8920223759800627)}
Run 6: {'dice_score': tensor(0.8493, device='cuda:0'), 'mIoU': tensor(0.7739, device='cuda:0'), 'precision': 0.8950636037065798, 'recall': 0.8581394851432094}, Credible Intervals: {'dice_score': (0.8121867285817699, 0.8703119310221987), 'mIoU': (0.73161648695269, 0.7991393025203126), 'precision': (0.8437783889936215, 0.8971205616346369), 'recall': (0.8339457182854813, 0.888857178538612)}
Run 7: {'dice_score': tensor(0.8206, device='cuda:0'), 'mIoU': tensor(0.7418, device='cuda:0'), 'precision': 0.8157620444126799, 'recall': 0.8871327407928186}, Credible Intervals: {'dice_score': (0.8111861100146636, 0.865451616969854), 'mIoU': (0.7305903536271234, 0.7934531462837966), 'precision': (0.8373364313629825, 0.8880247431212496), 'recall': (0.8399014741586902, 0.8902132910367844)}
Run 8: {'dice_score': tensor(0.8545, device='cuda:0'), 'mIoU': tensor(0.7724, device='cuda:0'), 'precision': 0.8654952184954169, 'recall': 0.8854563498602606}, Credible Intervals: {'dice_score': (0.8150613420128998, 0.8655959471144349), 'mIoU': (0.7339597049034952, 0.79267784328606), 'precision': (0.8393315936351805, 0.8867303233810133), 'recall': (0.8442365091955601, 0.8909537853774203)}
Run 9: {'dice_score': tensor(0.8680, device='cuda:0'), 'mIoU': tensor(0.7958, device='cuda:0'), 'precision': 0.8891615559160709, 'recall': 0.8970003086328506}, Credible Intervals: {'dice_score': (0.8197417389157484, 0.8670339107598624), 'mIoU': (0.7393728265874046, 0.7944575022188839), 'precision': (0.843767250728352, 0.8880767873734695), 'recall': (0.8490465777452574, 0.8926503859298129)}
Run 10: {'dice_score': tensor(0.8424, device='cuda:0'), 'mIoU': tensor(0.7695, device='cuda:0'), 'precision': 0.8815761715452064, 'recall': 0.8605014103821589}, Credible Intervals: {'dice_score': (0.8208394125772926, 0.8657350890406176), 'mIoU': (0.7410473372609192, 0.7933000485035305), 'precision': (0.8465583973021032, 0.8884045722417224), 'recall': (0.8490537339255159, 0.8905820900945799)}
Run 11: {'dice_score': tensor(0.8636, device='cuda:0'), 'mIoU': tensor(0.7885, device='cuda:0'), 'precision': 0.8814750038497203, 'recall': 0.8848365019367433}, Credible Intervals: {'dice_score': (0.8238164288005148, 0.8664303730716046), 'mIoU': (0.7442619432382127, 0.7939491928787799), 'precision': (0.8488738476749644, 0.8886246058851216), 'recall': (0.8514618366617894, 0.8908951907277964)}
Run 12: {'dice_score': tensor(0.8421, device='cuda:0'), 'mIoU': tensor(0.7619, device='cuda:0'), 'precision': 0.8262998608754708, 'recall': 0.898148397143314}, Credible Intervals: {'dice_score': (0.8244506952637591, 0.8652894938298641), 'mIoU': (0.7446987986751428, 0.7923232081429387), 'precision': (0.8459711574411827, 0.8844754291550843), 'recall': (0.8546771699817666, 0.8921604386729767)}
Run 13: {'dice_score': tensor(0.8555, device='cuda:0'), 'mIoU': tensor(0.7803, device='cuda:0'), 'precision': 0.8800832465589531, 'recall': 0.8817007546604968}, Credible Intervals: {'dice_score': (0.8261075828934153, 0.8652684532841783), 'mIoU': (0.7465625727289673, 0.7922635495653098), 'precision': (0.8479278281490021, 0.88479818653199), 'recall': (0.8560814167798756, 0.8920266426228313)}
Run 14: {'dice_score': tensor(0.8613, device='cuda:0'), 'mIoU': tensor(0.7925, device='cuda:0'), 'precision': 0.8831773725291825, 'recall': 0.881210328169398}, Credible Intervals: {'dice_score': (0.8279852629980207, 0.8656171101181778), 'mIoU': (0.7490934562635791, 0.7930272248952054), 'precision': (0.849859998053346, 0.8852614928571303), 'recall': (0.8572708974691524, 0.8918567420247934)}
Run 15: {'dice_score': tensor(0.8269, device='cuda:0'), 'mIoU': tensor(0.7431, device='cuda:0'), 'precision': 0.8466861376166344, 'recall': 0.8830083045414273}, Credible Intervals: {'dice_score': (0.8272324789631122, 0.8637237500993116), 'mIoU': (0.7479193276105525, 0.7904896193707279), 'precision': (0.8489925200514824, 0.8833529682259208), 'recall': (0.8584474735844054, 0.8918032525709385)}
Run 16: {'dice_score': tensor(0.8629, device='cuda:0'), 'mIoU': tensor(0.7906, device='cuda:0'), 'precision': 0.9044575560246301, 'recall': 0.8691207279743053}, Credible Intervals: {'dice_score': (0.8289474161865378, 0.8641830363992292), 'mIoU': (0.7499671958296927, 0.7911063103687435), 'precision': (0.852049205830824, 0.8850703220165752), 'recall': (0.8585787494253729, 0.8909232778078373)}
Run 17: {'dice_score': tensor(0.8687, device='cuda:0'), 'mIoU': tensor(0.7959, device='cuda:0'), 'precision': 0.859496236613023, 'recall': 0.9179448446737029}, Credible Intervals: {'dice_score': (0.8308307150845867, 0.8648994447631148), 'mIoU': (0.7521165814482359, 0.7919394815341346), 'precision': (0.8519800538442355, 0.8840756621034207), 'recall': (0.8617319494385194, 0.8928401396098838)}
Run 18: {'dice_score': tensor(0.8468, device='cuda:0'), 'mIoU': tensor(0.7722, device='cuda:0'), 'precision': 0.8733851256694487, 'recall': 0.8708191828570594}, Credible Intervals: {'dice_score': (0.8312484909975302, 0.8643666389139132), 'mIoU': (0.7526832130956249, 0.7913870456408737), 'precision': (0.8527419487679574, 0.8839077746269186), 'recall': (0.8617903088930108, 0.8920648316073757)}
Run 19: {'dice_score': tensor(0.8485, device='cuda:0'), 'mIoU': tensor(0.7804, device='cuda:0'), 'precision': 0.8773782685882359, 'recall': 0.876068763621187}, Credible Intervals: {'dice_score': (0.8317274521672113, 0.8639626183211269), 'mIoU': (0.7536508432694721, 0.7912995681717386), 'precision': (0.8536545540188205, 0.8839462446421396), 'recall': (0.8621446045889432, 0.8916203544770401)}
Run 20: {'dice_score': tensor(0.8518, device='cuda:0'), 'mIoU': tensor(0.7765, device='cuda:0'), 'precision': 0.8737402215699913, 'recall': 0.8779044664011694}, Credible Intervals: {'dice_score': (0.8323398517000351, 0.8637451505635241), 'mIoU': (0.7543322692698275, 0.7910188334609121), 'precision': (0.8542947166307281, 0.8837991336679075), 'recall': (0.8625695967545609, 0.8912973917899683)}
Run 21: {'dice_score': tensor(0.8385, device='cuda:0'), 'mIoU': tensor(0.7644, device='cuda:0'), 'precision': 0.8724414277248463, 'recall': 0.863746706154233}, Credible Intervals: {'dice_score': (0.832242414061689, 0.8629314596222349), 'mIoU': (0.7543708191088583, 0.7901973114357554), 'precision': (0.8548176638413119, 0.8835988993650519), 'recall': (0.8622566558779388, 0.8903567979564027)}
Run 22: {'dice_score': tensor(0.8495, device='cuda:0'), 'mIoU': tensor(0.7731, device='cuda:0'), 'precision': 0.8523706555045186, 'recall': 0.8940789057978786}, Credible Intervals: {'dice_score': (0.8326852232085696, 0.8626640484749881), 'mIoU': (0.7548180749956968, 0.789820945438077), 'precision': (0.8543482373282985, 0.8825403594130762), 'recall': (0.8634234287588701, 0.8908028449411453)}
Run 23: {'dice_score': tensor(0.8609, device='cuda:0'), 'mIoU': tensor(0.7880, device='cuda:0'), 'precision': 0.8643436338108563, 'recall': 0.9052759388194777}, Credible Intervals: {'dice_score': (0.8336098349255585, 0.8628863932303297), 'mIoU': (0.755899502861579, 0.790098590377584), 'precision': (0.8544709623946607, 0.8820616767922708), 'recall': (0.8650032549539843, 0.8916678379812217)}
Run 24: {'dice_score': tensor(0.8516, device='cuda:0'), 'mIoU': tensor(0.7734, device='cuda:0'), 'precision': 0.8654158864917793, 'recall': 0.8865425324545599}, Credible Intervals: {'dice_score': (0.8340598170148155, 0.8627112468616429), 'mIoU': (0.7562771460311566, 0.7897568499145821), 'precision': (0.8546366101256397, 0.8816588946805064), 'recall': (0.8656401246948314, 0.8917137927253487)}
Run 25: {'dice_score': tensor(0.8564, device='cuda:0'), 'mIoU': tensor(0.7821, device='cuda:0'), 'precision': 0.8960711055994034, 'recall': 0.8721841979145559}, Credible Intervals: {'dice_score': (0.8346794217818647, 0.862729413723067), 'mIoU': (0.7569847728047714, 0.7897710193456839), 'precision': (0.8560716601306181, 0.8824542534585305), 'recall': (0.8656314082330487, 0.8912039110375145)}
Run 26: {'dice_score': tensor(0.8312, device='cuda:0'), 'mIoU': tensor(0.7521, device='cuda:0'), 'precision': 0.8141351219456174, 'recall': 0.9083689031110502}, Credible Intervals: {'dice_score': (0.8342526185220756, 0.8618098828142681), 'mIoU': (0.7564656044567808, 0.7886574374918354), 'precision': (0.8541210588450411, 0.8801706075599909), 'recall': (0.8670805459955363, 0.892055282784637)}
Run 27: {'dice_score': tensor(0.8627, device='cuda:0'), 'mIoU': tensor(0.7858, device='cuda:0'), 'precision': 0.871985403610635, 'recall': 0.8955669880018927}, Credible Intervals: {'dice_score': (0.8350714318073608, 0.8620752557612268), 'mIoU': (0.757265663972012, 0.7888329336851613), 'precision': (0.8545500561629487, 0.8800995924251591), 'recall': (0.8679309870491647, 0.89238826330906)}
Run 28: {'dice_score': tensor(0.8387, device='cuda:0'), 'mIoU': tensor(0.7609, device='cuda:0'), 'precision': 0.835084670111537, 'recall': 0.9024433754486455}, Credible Intervals: {'dice_score': (0.834950900256745, 0.8614947439523687), 'mIoU': (0.7571068769676426, 0.7881272894184946), 'precision': (0.8535836501221684, 0.8787663394098187), 'recall': (0.8689799433766591, 0.8929288034234384)}
Run 29: {'dice_score': tensor(0.8451, device='cuda:0'), 'mIoU': tensor(0.7640, device='cuda:0'), 'precision': 0.8839167205365166, 'recall': 0.8608346326754786}, Credible Intervals: {'dice_score': (0.8350693534975075, 0.861160395786542), 'mIoU': (0.7570724587643802, 0.7875683953116818), 'precision': (0.8544369611846845, 0.879134964224351), 'recall': (0.8684650025510764, 0.8920580461186753)}
Run 30: {'dice_score': tensor(0.8245, device='cuda:0'), 'mIoU': tensor(0.7491, device='cuda:0'), 'precision': 0.8639489489885858, 'recall': 0.8631172709307898}, Credible Intervals: {'dice_score': (0.8344747189594806, 0.8601828875962194), 'mIoU': (0.7565359495358123, 0.7865561900932346), 'precision': (0.8545458243726302, 0.878837220573473), 'recall': (0.86806798312571, 0.8913136055470081)}
Run 31: {'dice_score': tensor(0.8632, device='cuda:0'), 'mIoU': tensor(0.7841, device='cuda:0'), 'precision': 0.8516761764138937, 'recall': 0.9179888504743576}, Credible Intervals: {'dice_score': (0.8352104224065063, 0.8604668139531555), 'mIoU': (0.7571932551259621, 0.7867077131638315), 'precision': (0.8542406415735904, 0.8781748945908718), 'recall': (0.8695412581329709, 0.8923080807426899)}
Run 32: {'dice_score': tensor(0.8567, device='cuda:0'), 'mIoU': tensor(0.7820, device='cuda:0'), 'precision': 0.9112321624403122, 'recall': 0.8480944348232247}, Credible Intervals: {'dice_score': (0.8356956760677814, 0.8605365946735088), 'mIoU': (0.7577462715583002, 0.7867825550252869), 'precision': (0.8558865897358223, 0.8793395576308886), 'recall': (0.8686535970257753, 0.89114635315391)}
Run 33: {'dice_score': tensor(0.8667, device='cuda:0'), 'mIoU': tensor(0.7905, device='cuda:0'), 'precision': 0.8562252409756184, 'recall': 0.9217426711320877}, Credible Intervals: {'dice_score': (0.836467488629417, 0.8608925839987235), 'mIoU': (0.7585312796624306, 0.7871004613419005), 'precision': (0.8557077146739828, 0.8788290809668525), 'recall': (0.8701420627245011, 0.8921908259007862)}
