Run 1: {'dice_score': tensor(0.8641, device='cuda:0'), 'mIoU': tensor(0.7846, device='cuda:0'), 'precision': 0.8527538459002971, 'recall': 0.9164436639845371}, Credible Intervals: {'dice_score': (0.7830920383067812, 0.9175718687775803), 'mIoU': (0.6940582806976772, 0.8537190570115339), 'precision': (0.7700527950346541, 0.9088043477103434), 'recall': (0.8454836460435599, 0.955991236375985)}
Run 2: {'dice_score': tensor(0.8229, device='cuda:0'), 'mIoU': tensor(0.7472, device='cuda:0'), 'precision': 0.9045635865275977, 'recall': 0.8109416324793972}, Credible Intervals: {'dice_score': (0.786602838575207, 0.8871893276608279), 'mIoU': (0.7024543969019365, 0.8191987144096373), 'precision': (0.8260387982159278, 0.9167601218469003), 'recall': (0.8091383016654158, 0.904300254749797)}
Run 3: {'dice_score': tensor(0.8600, device='cuda:0'), 'mIoU': tensor(0.7816, device='cuda:0'), 'precision': 0.8611196451022444, 'recall': 0.8952548128472066}, Credible Intervals: {'dice_score': (0.8040064291733235, 0.8850001909564611), 'mIoU': (0.7203064551776202, 0.815054963370356), 'precision': (0.8302779952171759, 0.9057674365832319), 'recall': (0.8318350552140346, 0.9069764922686544)}
Run 4: {'dice_score': tensor(0.8529, device='cuda:0'), 'mIoU': tensor(0.7716, device='cuda:0'), 'precision': 0.8322086221072823, 'recall': 0.9183738815085962}, Credible Intervals: {'dice_score': (0.8116037996884569, 0.8815710291881231), 'mIoU': (0.72759759925983, 0.8097085047007572), 'precision': (0.8254171696840256, 0.8928984431717746), 'recall': (0.8502453515404, 0.9128187806820517)}
Run 5: {'dice_score': tensor(0.8002, device='cuda:0'), 'mIoU': tensor(0.7218, device='cuda:0'), 'precision': 0.8426628406180149, 'recall': 0.8398902362553303}, Credible Intervals: {'dice_score': (0.8052773215580039, 0.8695032741309573), 'mIoU': (0.7220771021852739, 0.7966362745428607), 'precision': (0.8253481718136637, 0.8864226538405842), 'recall': (0.8443739150964568, 0.9021643550648729)}
Run 6: {'dice_score': tensor(0.8426, device='cuda:0'), 'mIoU': tensor(0.7739, device='cuda:0'), 'precision': 0.8570655040934864, 'recall': 0.8731453381748873}, Credible Intervals: {'dice_score': (0.808972772774835, 0.8675447218661959), 'mIoU': (0.7278271617211074, 0.7957104444382324), 'precision': (0.8281834362505869, 0.883979434981866), 'recall': (0.8468297016742543, 0.8996687915777563)}
Run 7: {'dice_score': tensor(0.8383, device='cuda:0'), 'mIoU': tensor(0.7560, device='cuda:0'), 'precision': 0.8109422540017749, 'recall': 0.9217089524970747}, Credible Intervals: {'dice_score': (0.8111299397792655, 0.8654026508192282), 'mIoU': (0.7294660324945572, 0.7924270721214677), 'precision': (0.8233390544119691, 0.8759990330134036), 'recall': (0.8562370547850741, 0.9040312313909711)}
Run 8: {'dice_score': tensor(0.8433, device='cuda:0'), 'mIoU': tensor(0.7640, device='cuda:0'), 'precision': 0.8587505622283225, 'recall': 0.875906462392539}, Credible Intervals: {'dice_score': (0.8135318675543438, 0.864251839528863), 'mIoU': (0.7318782256669611, 0.7907676028016573), 'precision': (0.8262298329958737, 0.8753681218405353), 'recall': (0.8571927395839564, 0.9020242377504439)}
Run 9: {'dice_score': tensor(0.8531, device='cuda:0'), 'mIoU': tensor(0.7758, device='cuda:0'), 'precision': 0.8379332496335123, 'recall': 0.9207662895427443}, Credible Intervals: {'dice_score': (0.8166425019642064, 0.8642941208255899), 'mIoU': (0.7352172689782114, 0.7906291410553136), 'precision': (0.8261075511139618, 0.8726440141943759), 'recall': (0.8633685850220525, 0.9049555158944246)}
Run 10: {'dice_score': tensor(0.8476, device='cuda:0'), 'mIoU': tensor(0.7640, device='cuda:0'), 'precision': 0.8449099555826663, 'recall': 0.898198335777352}, Credible Intervals: {'dice_score': (0.8186100192837185, 0.8637519909748808), 'mIoU': (0.7367437758802136, 0.7893187726066166), 'precision': (0.826820381456289, 0.871041728616796), 'recall': (0.865928191830164, 0.9051925244451784)}
Run 11: {'dice_score': tensor(0.8431, device='cuda:0'), 'mIoU': tensor(0.7640, device='cuda:0'), 'precision': 0.8422377398833828, 'recall': 0.8940668454811999}, Credible Intervals: {'dice_score': (0.8198415304183486, 0.862877302252506), 'mIoU': (0.7380530733817527, 0.7881865721947293), 'precision': (0.8272007298136917, 0.8694488901018153), 'recall': (0.8676595585303106, 0.9050025194472496)}
