Run 1: {'dice_score': tensor(0.8199, device='cuda:0'), 'mIoU': tensor(0.7448, device='cuda:0'), 'precision': 0.9004316781220217, 'recall': 0.8146931464376376}, Credible Intervals: {'dice_score': (0.7329347026549853, 0.8826944872839837), 'mIoU': (0.6511266481475431, 0.8200123411924853), 'precision': (0.8259672346302551, 0.944673890546796), 'recall': (0.7271313401146413, 0.8784695700837882)}
Run 2: {'dice_score': tensor(0.8358, device='cuda:0'), 'mIoU': tensor(0.7511, device='cuda:0'), 'precision': 0.7950587770419396, 'recall': 0.9303620433912969}, Credible Intervals: {'dice_score': (0.7693737969090209, 0.8737629553946703), 'mIoU': (0.6833694848959364, 0.8030174958793002), 'precision': (0.7913305762791096, 0.8908230173614873), 'recall': (0.8190914178437716, 0.9116794162044982)}
Run 3: {'dice_score': tensor(0.8415, device='cuda:0'), 'mIoU': tensor(0.7684, device='cuda:0'), 'precision': 0.892036847810961, 'recall': 0.842554017632328}, Credible Intervals: {'dice_score': (0.7859408676935467, 0.8703534068599692), 'mIoU': (0.7029776204678964, 0.799980794319022), 'precision': (0.8188703644123791, 0.8968326842305188), 'recall': (0.8189004952992305, 0.8968564562694499)}
Run 4: {'dice_score': tensor(0.8113, device='cuda:0'), 'mIoU': tensor(0.7344, device='cuda:0'), 'precision': 0.911509500655316, 'recall': 0.7936639178508623}, Credible Intervals: {'dice_score': (0.7869586888833621, 0.86098260235971), 'mIoU': (0.7049306362622205, 0.7895905154067403), 'precision': (0.8386707735205182, 0.9036070665217504), 'recall': (0.8065646431602371, 0.8773993291222557)}
Run 5: {'dice_score': tensor(0.8399, device='cuda:0'), 'mIoU': tensor(0.7641, device='cuda:0'), 'precision': 0.8311409250073593, 'recall': 0.9059907839459724}, Credible Intervals: {'dice_score': (0.7942029979904303, 0.8600443095315132), 'mIoU': (0.7128590228711984, 0.7883351153374315), 'precision': (0.8333356320449661, 0.8930688592382824), 'recall': (0.8240413278625117, 0.8853303390857413)}
Run 6: {'dice_score': tensor(0.8350, device='cuda:0'), 'mIoU': tensor(0.7560, device='cuda:0'), 'precision': 0.898171727483219, 'recall': 0.8270669125172667}, Credible Intervals: {'dice_score': (0.7984320636524297, 0.8584223156228064), 'mIoU': (0.717056123803903, 0.7859288785985997), 'precision': (0.8421932955686242, 0.8957937365325659), 'recall': (0.8217346224717856, 0.8784913478733476)}
Run 7: {'dice_score': tensor(0.8460, device='cuda:0'), 'mIoU': tensor(0.7727, device='cuda:0'), 'precision': 0.86787676755932, 'recall': 0.8669341981516577}, Credible Intervals: {'dice_score': (0.8032933056012725, 0.8585523551942699), 'mIoU': (0.7227318592508035, 0.7862702891260528), 'precision': (0.843984050089559, 0.8936864280037758), 'recall': (0.826381619439347, 0.8786245578144193)}
Run 8: {'dice_score': tensor(0.8491, device='cuda:0'), 'mIoU': tensor(0.7713, device='cuda:0'), 'precision': 0.872278565203359, 'recall': 0.8708921300026105}, Credible Intervals: {'dice_score': (0.8074603913988085, 0.8589028376964493), 'mIoU': (0.7269473395897752, 0.7862355252383255), 'precision': (0.8460320722775057, 0.8924955615588424), 'recall': (0.8304988504574943, 0.8790828012580443)}
Run 9: {'dice_score': tensor(0.8496, device='cuda:0'), 'mIoU': tensor(0.7698, device='cuda:0'), 'precision': 0.8573649589879517, 'recall': 0.8832886406884886}, Credible Intervals: {'dice_score': (0.8108461243000257, 0.8591555859005001), 'mIoU': (0.7301553058440993, 0.7859569054691445), 'precision': (0.8459366496455707, 0.8899585285493553), 'recall': (0.8352388648168649, 0.8806486849301456)}
Run 10: {'dice_score': tensor(0.8554, device='cuda:0'), 'mIoU': tensor(0.7811, device='cuda:0'), 'precision': 0.8596732557706147, 'recall': 0.8933756439865924}, Credible Intervals: {'dice_score': (0.8142245229509537, 0.8598431862041351), 'mIoU': (0.7339594785439167, 0.7867394089227515), 'precision': (0.8461762480811009, 0.8880707302439471), 'recall': (0.8401515704891696, 0.8827951052374866)}
Run 11: {'dice_score': tensor(0.8513, device='cuda:0'), 'mIoU': tensor(0.7707, device='cuda:0'), 'precision': 0.8675966973975301, 'recall': 0.8799915764993057}, Credible Intervals: {'dice_score': (0.8166455890203502, 0.8600145605995232), 'mIoU': (0.7361489448418175, 0.786416606080721), 'precision': (0.8471889021444033, 0.8871439943430054), 'recall': (0.8429184803267896, 0.88338345213041)}
Run 12: {'dice_score': tensor(0.8422, device='cuda:0'), 'mIoU': tensor(0.7647, device='cuda:0'), 'precision': 0.8379445076136978, 'recall': 0.8965139746836496}, Credible Intervals: {'dice_score': (0.8178997704071287, 0.8594003245075548), 'mIoU': (0.7375060382394449, 0.7856233400084671), 'precision': (0.8454577182014622, 0.8840207507560477), 'recall': (0.8467127318335219, 0.8851318540986702)}
Run 13: {'dice_score': tensor(0.8369, device='cuda:0'), 'mIoU': tensor(0.7650, device='cuda:0'), 'precision': 0.8370749453824519, 'recall': 0.8915814328437246}, Credible Intervals: {'dice_score': (0.8185650730963008, 0.8584605419182983), 'mIoU': (0.738716791678286, 0.7849364315888389), 'precision': (0.8439647303609874, 0.8812705164469434), 'recall': (0.8495452193742579, 0.8862352457268563)}
Run 14: {'dice_score': tensor(0.7958, device='cuda:0'), 'mIoU': tensor(0.7254, device='cuda:0'), 'precision': 0.8864890462359444, 'recall': 0.7903428236893021}, Credible Intervals: {'dice_score': (0.8160989459980514, 0.8548425478501653), 'mIoU': (0.7368742219342306, 0.7815853537011589), 'precision': (0.8464341514454682, 0.8822019255686405), 'recall': (0.8443741111601188, 0.8803589723845822)}
Run 15: {'dice_score': tensor(0.8388, device='cuda:0'), 'mIoU': tensor(0.7576, device='cuda:0'), 'precision': 0.8442820108001879, 'recall': 0.8840769763396479}, Credible Intervals: {'dice_score': (0.8169823441014047, 0.8543983643528262), 'mIoU': (0.7375166723447032, 0.7807236833078064), 'precision': (0.8456331184302393, 0.8803384772497723), 'recall': (0.846501813285633, 0.8811185691488873)}
Run 16: {'dice_score': tensor(0.8425, device='cuda:0'), 'mIoU': tensor(0.7653, device='cuda:0'), 'precision': 0.8780852039903402, 'recall': 0.8622644205437973}, Credible Intervals: {'dice_score': (0.8180195272387227, 0.8542147578077508), 'mIoU': (0.7386002016513951, 0.7804165000393043), 'precision': (0.8471716264356117, 0.8806828700063841), 'recall': (0.8469470935455754, 0.8804805948133011)}
Run 17: {'dice_score': tensor(0.8128, device='cuda:0'), 'mIoU': tensor(0.7247, device='cuda:0'), 'precision': 0.7893991753550468, 'recall': 0.9070223362849451}, Credible Intervals: {'dice_score': (0.8171330819997767, 0.8523699868355342), 'mIoU': (0.737120030777159, 0.7778091794984281), 'precision': (0.843076826651957, 0.8760297507085144), 'recall': (0.8501163824309433, 0.8823948251776577)}
Run 18: {'dice_score': tensor(0.8511, device='cuda:0'), 'mIoU': tensor(0.7755, device='cuda:0'), 'precision': 0.8624176803414388, 'recall': 0.8792306097516216}, Credible Intervals: {'dice_score': (0.8185745067928007, 0.8527465046575664), 'mIoU': (0.7387191139137121, 0.7782093768757999), 'precision': (0.8437053167514532, 0.8757188796439166), 'recall': (0.8513241240896838, 0.8826256789529414)}
