Run 1: {'dice_score': tensor(0.6536, device='cuda:0'), 'mIoU': tensor(0.5601, device='cuda:0'), 'precision': 0.795064530228359, 'recall': 0.6815975829929767}, Credible Intervals: {'dice_score': (0.555928717235338, 0.7396338559356979), 'mIoU': (0.46217166562870665, 0.6535324469690571), 'precision': (0.7054522937343395, 0.8623714156727611), 'recall': (0.58473283852924, 0.7647275262537587)}
Run 2: {'dice_score': tensor(0.7000, device='cuda:0'), 'mIoU': tensor(0.5920, device='cuda:0'), 'precision': 0.7875459388180372, 'recall': 0.7404726047744794}, Credible Intervals: {'dice_score': (0.6090704878057662, 0.7377596237968344), 'mIoU': (0.5067019058142528, 0.6425455562644923), 'precision': (0.729640433390994, 0.8417945938949534), 'recall': (0.6445872415773528, 0.7693852976240043)}
Run 3: {'dice_score': tensor(0.6565, device='cuda:0'), 'mIoU': tensor(0.5612, device='cuda:0'), 'precision': 0.795130094100628, 'recall': 0.6649113494109128}, Credible Intervals: {'dice_score': (0.6149147946325264, 0.7208015251162804), 'mIoU': (0.514500558984569, 0.6258874044594713), 'precision': (0.7430690898622149, 0.8345710408350344), 'recall': (0.6413219045180825, 0.7449692375224048)}
Run 4: {'dice_score': tensor(0.6496, device='cuda:0'), 'mIoU': tensor(0.5516, device='cuda:0'), 'precision': 0.838965074572134, 'recall': 0.6201058244222297}, Credible Intervals: {'dice_score': (0.6172517280339281, 0.7094176875229292), 'mIoU': (0.517235226668197, 0.6139635915239053), 'precision': (0.7624204879506868, 0.840054070742295), 'recall': (0.6293970770818272, 0.7207299340658044)}
Run 5: {'dice_score': tensor(0.6996, device='cuda:0'), 'mIoU': tensor(0.6004, device='cuda:0'), 'precision': 0.8271838819490028, 'recall': 0.7059752874628004}, Credible Intervals: {'dice_score': (0.6295056598948015, 0.7115725480167412), 'mIoU': (0.5292881589079248, 0.6157103331296739), 'precision': (0.7719649159851503, 0.8408099892662728), 'recall': (0.6405184568657463, 0.7218787952430662)}
Run 6: {'dice_score': tensor(0.6227, device='cuda:0'), 'mIoU': tensor(0.5245, device='cuda:0'), 'precision': 0.7678708124134233, 'recall': 0.6573383439926553}, Credible Intervals: {'dice_score': (0.6249139951262992, 0.7003303855115961), 'mIoU': (0.5249931418946088, 0.6041083100287413), 'precision': (0.7681627704741816, 0.8318572640892499), 'recall': (0.6399649047119398, 0.7145310053571325)}
Run 7: {'dice_score': tensor(0.6739, device='cuda:0'), 'mIoU': tensor(0.5704, device='cuda:0'), 'precision': 0.7590220551259429, 'recall': 0.7346137983060934}, Credible Intervals: {'dice_score': (0.6293429723273842, 0.6991150486842073), 'mIoU': (0.5287547819655462, 0.6020153136646984), 'precision': (0.7643611604481161, 0.8240135614759626), 'recall': (0.6510998287118597, 0.7196959631689271)}
Run 8: {'dice_score': tensor(0.6779, device='cuda:0'), 'mIoU': tensor(0.5791, device='cuda:0'), 'precision': 0.7463380481040349, 'recall': 0.7443855210706167}, Credible Intervals: {'dice_score': (0.6333247658690482, 0.6985309445184446), 'mIoU': (0.532826351324162, 0.6013450343886574), 'precision': (0.7600241392263384, 0.8164466948307538), 'recall': (0.6608495315619732, 0.7246219477723042)}
Run 9: {'dice_score': tensor(0.6353, device='cuda:0'), 'mIoU': tensor(0.5343, device='cuda:0'), 'precision': 0.8543714932533899, 'recall': 0.6051828879409679}, Credible Intervals: {'dice_score': (0.631709761470743, 0.6933584116652136), 'mIoU': (0.531117649294329, 0.5957959838866786), 'precision': (0.7692892920018847, 0.821815385157667), 'recall': (0.6527208145269188, 0.713378593863816)}
Run 10: {'dice_score': tensor(0.7030, device='cuda:0'), 'mIoU': tensor(0.5990, device='cuda:0'), 'precision': 0.7496722170386514, 'recall': 0.7613801768852855}, Credible Intervals: {'dice_score': (0.6374006317593409, 0.6957239354943857), 'mIoU': (0.5363395827078754, 0.5976528290057146), 'precision': (0.7658529147720419, 0.8161115788642039), 'recall': (0.6622689180080696, 0.7194359064329983)}
Run 11: {'dice_score': tensor(0.6968, device='cuda:0'), 'mIoU': tensor(0.5964, device='cuda:0'), 'precision': 0.8292719433108996, 'recall': 0.6866854105047685}, Credible Intervals: {'dice_score': (0.6415540388934189, 0.6970572330780571), 'mIoU': (0.5404483199691994, 0.5988739316871332), 'precision': (0.7706333694115202, 0.8182684765871164), 'recall': (0.6632072903145748, 0.7177426855505616)}
Run 12: {'dice_score': tensor(0.6708, device='cuda:0'), 'mIoU': tensor(0.5689, device='cuda:0'), 'precision': 0.7160336564094565, 'recall': 0.7411568710364292}, Credible Intervals: {'dice_score': (0.6428587729543902, 0.6960019843239182), 'mIoU': (0.541621543132286, 0.5975682849063579), 'precision': (0.7648638737718668, 0.8110108537182734), 'recall': (0.6686735609631331, 0.7206961381606476)}
Run 13: {'dice_score': tensor(0.6522, device='cuda:0'), 'mIoU': tensor(0.5536, device='cuda:0'), 'precision': 0.7827726617137755, 'recall': 0.6719290998269876}, Credible Intervals: {'dice_score': (0.6425469364195067, 0.6936636049253622), 'mIoU': (0.5414834696737265, 0.5952599601529959), 'precision': (0.765353814231015, 0.8097288149195488), 'recall': (0.6679054676754734, 0.7179738786870071)}
Run 14: {'dice_score': tensor(0.6963, device='cuda:0'), 'mIoU': tensor(0.5917, device='cuda:0'), 'precision': 0.7507385663085554, 'recall': 0.767619118791606}, Credible Intervals: {'dice_score': (0.6455180285602572, 0.694704974567693), 'mIoU': (0.5441346322118352, 0.5959355354199329), 'precision': (0.7634400201573938, 0.8063997416344855), 'recall': (0.6742515091417338, 0.7222667719484028)}
