Run 1: {'dice_score': tensor(0.7836, device='cuda:0'), 'mIoU': tensor(0.6990, device='cuda:0'), 'precision': 0.7769348874009535, 'recall': 0.8970224824027071}, Credible Intervals: {'dice_score': (0.6929087224508552, 0.852839024521331), 'mIoU': (0.6027857122339519, 0.7801196280227287), 'precision': (0.6856667259415563, 0.8472656738838198), 'recall': (0.8218680499606397, 0.9422089455929377)}
Run 2: {'dice_score': tensor(0.8300, device='cuda:0'), 'mIoU': tensor(0.7596, device='cuda:0'), 'precision': 0.8580508242811662, 'recall': 0.8713690158808606}, Credible Intervals: {'dice_score': (0.7464117748534067, 0.8554497199726314), 'mIoU': (0.6637085300364736, 0.7860892842090601), 'precision': (0.758032129245259, 0.8647748295969451), 'recall': (0.8323433507043462, 0.9213182800993368)}
Run 3: {'dice_score': tensor(0.8683, device='cuda:0'), 'mIoU': tensor(0.7958, device='cuda:0'), 'precision': 0.8812899258833096, 'recall': 0.8951968960569597}, Credible Intervals: {'dice_score': (0.7804152954372164, 0.8658193178914604), 'mIoU': (0.6995154997396063, 0.7969476896027631), 'precision': (0.7928353419272702, 0.8759758739891377), 'recall': (0.8470849814046058, 0.9186757744121452)}
Run 4: {'dice_score': tensor(0.8565, device='cuda:0'), 'mIoU': tensor(0.7830, device='cuda:0'), 'precision': 0.8680121403932571, 'recall': 0.9033041286574103}, Credible Intervals: {'dice_score': (0.7950083711313811, 0.8677575375550672), 'mIoU': (0.7150563659810945, 0.7986112655720115), 'precision': (0.8073805732011057, 0.8780761798892376), 'recall': (0.857420737555594, 0.9184580011385385)}
Run 5: {'dice_score': tensor(0.8495, device='cuda:0'), 'mIoU': tensor(0.7729, device='cuda:0'), 'precision': 0.8374031967968233, 'recall': 0.9080015951500632}, Credible Intervals: {'dice_score': (0.8026832269327822, 0.8672950948568185), 'mIoU': (0.7227721215753522, 0.7972605057936442), 'precision': (0.8099101939643024, 0.8734351222992812), 'recall': (0.8649952327520959, 0.9188485888398867)}
Run 6: {'dice_score': tensor(0.8418, device='cuda:0'), 'mIoU': tensor(0.7713, device='cuda:0'), 'precision': 0.8807147435790306, 'recall': 0.858426553668598}, Credible Intervals: {'dice_score': (0.8066795583363551, 0.8655661193662957), 'mIoU': (0.7279442730013972, 0.7958165128434808), 'precision': (0.8196045399723906, 0.8766720412671861), 'recall': (0.8611957866302338, 0.9115560647784463)}
Run 7: {'dice_score': tensor(0.8464, device='cuda:0'), 'mIoU': tensor(0.7683, device='cuda:0'), 'precision': 0.8452605992771136, 'recall': 0.9020888097689844}, Credible Intervals: {'dice_score': (0.8104048957062602, 0.8647704227950328), 'mIoU': (0.7314036958479004, 0.7941950830992124), 'precision': (0.8212590766656788, 0.8742006017542996), 'recall': (0.8654727700929208, 0.9117443950576586)}
Run 8: {'dice_score': tensor(0.7876, device='cuda:0'), 'mIoU': tensor(0.7060, device='cuda:0'), 'precision': 0.8644361655600369, 'recall': 0.8193865933182213}, Credible Intervals: {'dice_score': (0.8055410534198657, 0.857207533381329), 'mIoU': (0.7260485069045659, 0.785408362112805), 'precision': (0.8251712851958604, 0.8744452239834741), 'recall': (0.8576139842706921, 0.9023819755853288)}
Run 9: {'dice_score': tensor(0.8392, device='cuda:0'), 'mIoU': tensor(0.7602, device='cuda:0'), 'precision': 0.8215410435472605, 'recall': 0.9038789671810791}, Credible Intervals: {'dice_score': (0.8079283752419326, 0.8565620413443323), 'mIoU': (0.7282513616170665, 0.7841970698935555), 'precision': (0.823241327637896, 0.8701209905122333), 'recall': (0.8617271277107684, 0.9035532005177518)}
Run 10: {'dice_score': tensor(0.8620, device='cuda:0'), 'mIoU': tensor(0.7861, device='cuda:0'), 'precision': 0.8845675778685712, 'recall': 0.8825073455379702}, Credible Intervals: {'dice_score': (0.8122963805931221, 0.8581214122654233), 'mIoU': (0.7327687907535279, 0.7856355104832041), 'precision': (0.8284374422728553, 0.8724730011018323), 'recall': (0.8627754274226094, 0.902478685643881)}
Run 11: {'dice_score': tensor(0.8211, device='cuda:0'), 'mIoU': tensor(0.7399, device='cuda:0'), 'precision': 0.7966611911769528, 'recall': 0.915145336474607}, Credible Intervals: {'dice_score': (0.8120126731217703, 0.8558554577903953), 'mIoU': (0.7321776859907891, 0.7827211499439523), 'precision': (0.8243012419446477, 0.8668631644273507), 'recall': (0.8668467501781556, 0.9042991074619683)}
Run 12: {'dice_score': tensor(0.8422, device='cuda:0'), 'mIoU': tensor(0.7681, device='cuda:0'), 'precision': 0.8820778502783639, 'recall': 0.8643862004729042}, Credible Intervals: {'dice_score': (0.8136610731324373, 0.8555785174959525), 'mIoU': (0.7341624822357283, 0.7825030397755168), 'precision': (0.8283990471722269, 0.868828424834688), 'recall': (0.86575684615441, 0.9018694492928203)}
Run 13: {'dice_score': tensor(0.8407, device='cuda:0'), 'mIoU': tensor(0.7657, device='cuda:0'), 'precision': 0.8965806930220023, 'recall': 0.8304474023181158}, Credible Intervals: {'dice_score': (0.814969793831497, 0.8552058484021334), 'mIoU': (0.735687061877691, 0.782101687025482), 'precision': (0.8330633787434409, 0.871521688883799), 'recall': (0.8621027040568328, 0.8973381030314359)}
Run 14: {'dice_score': tensor(0.8311, device='cuda:0'), 'mIoU': tensor(0.7508, device='cuda:0'), 'precision': 0.835269805357415, 'recall': 0.8987579602227459}, Credible Intervals: {'dice_score': (0.8153989669485777, 0.8542060097375869), 'mIoU': (0.7359310780203103, 0.7807002831780745), 'precision': (0.8324832918115185, 0.8696767912405793), 'recall': (0.8641788234049923, 0.8979741787291673)}
Run 15: {'dice_score': tensor(0.7970, device='cuda:0'), 'mIoU': tensor(0.7103, device='cuda:0'), 'precision': 0.7541484092269093, 'recall': 0.9225398032367229}, Credible Intervals: {'dice_score': (0.8134261662406042, 0.8511521329314303), 'mIoU': (0.7333983460328275, 0.7768484913622897), 'precision': (0.8263482374051423, 0.8629211719298813), 'recall': (0.8676714823167542, 0.8999957169596615)}
