Run 1: {'dice_score': tensor(0.8609, device='cuda:0'), 'mIoU': tensor(0.7856, device='cuda:0'), 'precision': 0.8542617106551191, 'recall': 0.9101181259856916}, Credible Intervals: {'dice_score': (0.779370987633579, 0.9150928256723643), 'mIoU': (0.6950553547441449, 0.8544813155492714), 'precision': (0.771780618403765, 0.9099789205896259), 'recall': (0.8377186843957016, 0.951574426251703)}
Run 2: {'dice_score': tensor(0.8613, device='cuda:0'), 'mIoU': tensor(0.7859, device='cuda:0'), 'precision': 0.843943191513207, 'recall': 0.9155691409309752}, Credible Intervals: {'dice_score': (0.8062324919949122, 0.9021245351578473), 'mIoU': (0.7236164303456496, 0.8368356205189049), 'precision': (0.7928387213520209, 0.8919773949698535), 'recall': (0.8654991627070467, 0.9443671777365228)}
Run 3: {'dice_score': tensor(0.8614, device='cuda:0'), 'mIoU': tensor(0.7843, device='cuda:0'), 'precision': 0.8683239218592643, 'recall': 0.9041145840405973}, Credible Intervals: {'dice_score': (0.8174104633033357, 0.8956798164655979), 'mIoU': (0.7352324283763851, 0.8278899650025731), 'precision': (0.8111616122168601, 0.8907219572985934), 'recall': (0.872098901129729, 0.9372396559226194)}
Run 4: {'dice_score': tensor(0.8676, device='cuda:0'), 'mIoU': tensor(0.7959, device='cuda:0'), 'precision': 0.8771934996545315, 'recall': 0.9072613701329924}, Credible Intervals: {'dice_score': (0.8255533503062272, 0.8930092948455579), 'mIoU': (0.7451486384015117, 0.8250921353204638), 'precision': (0.8235281993517759, 0.8913591157561742), 'recall': (0.8770521105310239, 0.9335742596516832)}
Run 5: {'dice_score': tensor(0.8579, device='cuda:0'), 'mIoU': tensor(0.7870, device='cuda:0'), 'precision': 0.8938478721678257, 'recall': 0.8824583411441097}, Credible Intervals: {'dice_score': (0.8287616194796597, 0.8892693034350914), 'mIoU': (0.7497117642515922, 0.8212697771623083), 'precision': (0.8349406505255956, 0.8943979708344286), 'recall': (0.874874945304158, 0.9266820699981606)}
Run 6: {'dice_score': tensor(0.8879, device='cuda:0'), 'mIoU': tensor(0.8185, device='cuda:0'), 'precision': 0.8990473484992981, 'recall': 0.910334377810359}, Credible Intervals: {'dice_score': (0.8365495427087437, 0.8910529411756473), 'mIoU': (0.7585839449025421, 0.8233460097359809), 'precision': (0.8436838248652502, 0.8970414638261752), 'recall': (0.878841832356939, 0.9258811305307694)}
Run 7: {'dice_score': tensor(0.8679, device='cuda:0'), 'mIoU': tensor(0.8011, device='cuda:0'), 'precision': 0.8796782845474695, 'recall': 0.9024101669109692}, Credible Intervals: {'dice_score': (0.8391690987741617, 0.8895889115035954), 'mIoU': (0.7624765176490755, 0.8223218912295678), 'precision': (0.8470698593358648, 0.8963030672944109), 'recall': (0.8805640093368499, 0.9241735037644484)}
Run 8: {'dice_score': tensor(0.8655, device='cuda:0'), 'mIoU': tensor(0.7899, device='cuda:0'), 'precision': 0.8636204642186952, 'recall': 0.9074734364555574}, Credible Intervals: {'dice_score': (0.8409264061315437, 0.8881054365995676), 'mIoU': (0.7640656596420197, 0.8201060821242191), 'precision': (0.847560551590183, 0.8938061379758717), 'recall': (0.88264642652201, 0.9233615532460687)}
Run 9: {'dice_score': tensor(0.8792, device='cuda:0'), 'mIoU': tensor(0.8125, device='cuda:0'), 'precision': 0.9142882734537124, 'recall': 0.8867585676943791}, Credible Intervals: {'dice_score': (0.8440040210185478, 0.8882823191889775), 'mIoU': (0.7680204767918218, 0.8206626557258752), 'precision': (0.8540492321286719, 0.8969660380103494), 'recall': (0.8818377300112393, 0.9205760225496546)}
Run 10: {'dice_score': tensor(0.8511, device='cuda:0'), 'mIoU': tensor(0.7767, device='cuda:0'), 'precision': 0.8468493282881084, 'recall': 0.9085596969829298}, Credible Intervals: {'dice_score': (0.8435324858983333, 0.8857585459048489), 'mIoU': (0.7675215597085805, 0.817637384285276), 'precision': (0.8520847134727481, 0.8932213749383839), 'recall': (0.88361402211942, 0.9202648317095741)}
Run 11: {'dice_score': tensor(0.8494, device='cuda:0'), 'mIoU': tensor(0.7839, device='cuda:0'), 'precision': 0.906049822717905, 'recall': 0.8676851299565214}, Credible Intervals: {'dice_score': (0.8430426428266696, 0.8834929492612275), 'mIoU': (0.7678623498523423, 0.8157255212652439), 'precision': (0.8562620303790731, 0.8950949632824389), 'recall': (0.8811079180567556, 0.9165650148623058)}
Run 12: {'dice_score': tensor(0.8377, device='cuda:0'), 'mIoU': tensor(0.7523, device='cuda:0'), 'precision': 0.8123425476253032, 'recall': 0.9262593799829483}, Credible Intervals: {'dice_score': (0.8416436180274367, 0.8806382652164184), 'mIoU': (0.7654642298901915, 0.811564979678868), 'precision': (0.851486149141828, 0.8893491384874914), 'recall': (0.8843061051718966, 0.9179226738920983)}
Run 13: {'dice_score': tensor(0.8611, device='cuda:0'), 'mIoU': tensor(0.7883, device='cuda:0'), 'precision': 0.8916092957556248, 'recall': 0.8881900203382059}, Credible Intervals: {'dice_score': (0.8424028743028128, 0.8798777967406771), 'mIoU': (0.7663499882756268, 0.8106512704102842), 'precision': (0.853947315799516, 0.8901385985879915), 'recall': (0.8838958302054309, 0.9163506254482968)}
Run 14: {'dice_score': tensor(0.8633, device='cuda:0'), 'mIoU': tensor(0.7925, device='cuda:0'), 'precision': 0.8908576154831113, 'recall': 0.8822425556323756}, Credible Intervals: {'dice_score': (0.8432415498358155, 0.8793447654197071), 'mIoU': (0.767451067899426, 0.8101261035855926), 'precision': (0.8560202851650914, 0.8907460694247195), 'recall': (0.8831185201685625, 0.9145807204894528)}
Run 15: {'dice_score': tensor(0.8508, device='cuda:0'), 'mIoU': tensor(0.7695, device='cuda:0'), 'precision': 0.8137202554196119, 'recall': 0.9458736729621887}, Credible Intervals: {'dice_score': (0.8431187759012702, 0.8780783175862991), 'mIoU': (0.7668410213833782, 0.8081665241222302), 'precision': (0.8524146291567255, 0.8864173394220827), 'recall': (0.8869872554851805, 0.9169656996589378)}
Run 16: {'dice_score': tensor(0.8905, device='cuda:0'), 'mIoU': tensor(0.8195, device='cuda:0'), 'precision': 0.896904824823141, 'recall': 0.9159094429016114}, Credible Intervals: {'dice_score': (0.8456322765045649, 0.8792955851358815), 'mIoU': (0.7695578713503747, 0.8094374389186367), 'precision': (0.8547582383312444, 0.8875015504084065), 'recall': (0.8883863943296274, 0.9173040107941524)}
Run 17: {'dice_score': tensor(0.8686, device='cuda:0'), 'mIoU': tensor(0.7935, device='cuda:0'), 'precision': 0.8445671784877777, 'recall': 0.941661239862442}, Credible Intervals: {'dice_score': (0.8465120218993487, 0.8791389492066989), 'mIoU': (0.7703926238769817, 0.8090697188265705), 'precision': (0.8536035592545171, 0.8855383948073499), 'recall': (0.8912422780862672, 0.9190043341727343)}
Run 18: {'dice_score': tensor(0.8726, device='cuda:0'), 'mIoU': tensor(0.8051, device='cuda:0'), 'precision': 0.8940135978348553, 'recall': 0.8953527275392211}, Credible Intervals: {'dice_score': (0.8475395926469332, 0.8791984310653738), 'mIoU': (0.7718182540730114, 0.8093527590621672), 'precision': (0.8554753893808676, 0.8863765888947781), 'recall': (0.8910544389236346, 0.9181089346621376)}
Run 19: {'dice_score': tensor(0.8703, device='cuda:0'), 'mIoU': tensor(0.7999, device='cuda:0'), 'precision': 0.863925499103482, 'recall': 0.9107208511525191}, Credible Intervals: {'dice_score': (0.8483419498008794, 0.8791253826867463), 'mIoU': (0.772819608625031, 0.8093247044003149), 'precision': (0.8554995170862341, 0.8856171091873275), 'recall': (0.8917554607030521, 0.9180528523500255)}
Run 20: {'dice_score': tensor(0.8647, device='cuda:0'), 'mIoU': tensor(0.7945, device='cuda:0'), 'precision': 0.8936588701883575, 'recall': 0.8846308103346643}, Credible Intervals: {'dice_score': (0.8487822542565391, 0.8787849281348951), 'mIoU': (0.7734573405686426, 0.8090299963061608), 'precision': (0.8570880113637538, 0.8863342107413601), 'recall': (0.891013490519496, 0.9167714541333092)}
Run 21: {'dice_score': tensor(0.8588, device='cuda:0'), 'mIoU': tensor(0.7836, device='cuda:0'), 'precision': 0.8637138874925063, 'recall': 0.8960100254522062}, Credible Intervals: {'dice_score': (0.8488969678595479, 0.8782008643892752), 'mIoU': (0.7735122500916232, 0.808252152150595), 'precision': (0.8570407011723652, 0.8856213157498088), 'recall': (0.8909254451070504, 0.9161102036055275)}
Run 22: {'dice_score': tensor(0.8412, device='cuda:0'), 'mIoU': tensor(0.7648, device='cuda:0'), 'precision': 0.8387259333710341, 'recall': 0.9039874962196598}, Credible Intervals: {'dice_score': (0.8481724856849119, 0.8768950642105673), 'mIoU': (0.7726930050752193, 0.8067068633724059), 'precision': (0.8558200589696319, 0.8838831198581121), 'recall': (0.8912359307583789, 0.9158423610808795)}
Run 23: {'dice_score': tensor(0.8574, device='cuda:0'), 'mIoU': tensor(0.7895, device='cuda:0'), 'precision': 0.9006487262554803, 'recall': 0.8677732295057556}, Credible Intervals: {'dice_score': (0.8482524127942113, 0.8763653666655425), 'mIoU': (0.7730570494565596, 0.8063256296866954), 'precision': (0.8575244694457748, 0.8848522137997517), 'recall': (0.8898660470020954, 0.9141074387687355)}
Run 24: {'dice_score': tensor(0.8847, device='cuda:0'), 'mIoU': tensor(0.8143, device='cuda:0'), 'precision': 0.8954438309371472, 'recall': 0.9046672973036766}, Credible Intervals: {'dice_score': (0.8495162592777201, 0.8769607901342935), 'mIoU': (0.7744573401436651, 0.8069687655679192), 'precision': (0.8588650650135841, 0.8855296514224975), 'recall': (0.8902375641358572, 0.9139589556884075)}
Run 25: {'dice_score': tensor(0.8759, device='cuda:0'), 'mIoU': tensor(0.8017, device='cuda:0'), 'precision': 0.8754058735258877, 'recall': 0.9090088760852814}, Credible Intervals: {'dice_score': (0.8503178290643321, 0.8771678140990041), 'mIoU': (0.7752362893481194, 0.807067708058615), 'precision': (0.8592672141113135, 0.8853837992619048), 'recall': (0.8907667644459684, 0.9139817594694364)}
Run 26: {'dice_score': tensor(0.8793, device='cuda:0'), 'mIoU': tensor(0.8100, device='cuda:0'), 'precision': 0.9275534462928772, 'recall': 0.8755127079039812}, Credible Intervals: {'dice_score': (0.8512005421477308, 0.8774818752929382), 'mIoU': (0.7762890661469725, 0.8074636918338672), 'precision': (0.8617326292829997, 0.8871603468317779), 'recall': (0.8899058618385323, 0.9127794907899732)}
Run 27: {'dice_score': tensor(0.8703, device='cuda:0'), 'mIoU': tensor(0.7980, device='cuda:0'), 'precision': 0.8762823940919473, 'recall': 0.9002587789402701}, Credible Intervals: {'dice_score': (0.8516738488072273, 0.8774477887766543), 'mIoU': (0.776811966345744, 0.8073928051241275), 'precision': (0.862040283601323, 0.8869885015052402), 'recall': (0.890076607016902, 0.9125285839294801)}
Run 28: {'dice_score': tensor(0.8588, device='cuda:0'), 'mIoU': tensor(0.7849, device='cuda:0'), 'precision': 0.9064640389382839, 'recall': 0.8605662955494411}, Credible Intervals: {'dice_score': (0.851693370126813, 0.8770204189484984), 'mIoU': (0.7768246555239101, 0.8068692161473081), 'precision': (0.8634517761217243, 0.8878559676183729), 'recall': (0.8887529925575095, 0.9109465131736453)}
