Run 1: {'dice_score': tensor(0.7780, device='cuda:0'), 'mIoU': tensor(0.6930, device='cuda:0'), 'precision': 0.8673310048017008, 'recall': 0.7989757356802766}, Credible Intervals: {'dice_score': (0.6867785178439577, 0.8481245614975462), 'mIoU': (0.5965802056795684, 0.7748582937629727), 'precision': (0.7868561724130486, 0.9200604291185737), 'recall': (0.7097498767076112, 0.8656012354098183)}
Run 2: {'dice_score': tensor(0.7767, device='cuda:0'), 'mIoU': tensor(0.6938, device='cuda:0'), 'precision': 0.9026318553115131, 'recall': 0.7603616587941405}, Credible Intervals: {'dice_score': (0.7146117446025833, 0.8293714051008325), 'mIoU': (0.6262556450215048, 0.7531571346433242), 'precision': (0.8332403759213234, 0.9219626358910743), 'recall': (0.7171370781386421, 0.831470864643147)}
Run 3: {'dice_score': tensor(0.8185, device='cuda:0'), 'mIoU': tensor(0.7360, device='cuda:0'), 'precision': 0.8411443170958992, 'recall': 0.871619953167625}, Credible Intervals: {'dice_score': (0.7414334893880716, 0.833179992501125), 'mIoU': (0.6537031708908432, 0.756179534087195), 'precision': (0.8275660045531517, 0.9036554511019637), 'recall': (0.7620679912856054, 0.8505944338211004)}
Run 4: {'dice_score': tensor(0.8175, device='cuda:0'), 'mIoU': tensor(0.7328, device='cuda:0'), 'precision': 0.8565905396834143, 'recall': 0.8413853247692971}, Credible Intervals: {'dice_score': (0.7554821820240232, 0.8340655648669322), 'mIoU': (0.6677112180247717, 0.7559917391420938), 'precision': (0.8300771729101264, 0.8966822178789069), 'recall': (0.7772630099461095, 0.8527614624927574)}
Run 5: {'dice_score': tensor(0.7882, device='cuda:0'), 'mIoU': tensor(0.7101, device='cuda:0'), 'precision': 0.8815250346177435, 'recall': 0.8057224610239192}, Credible Intervals: {'dice_score': (0.7581848429267741, 0.8287425616589604), 'mIoU': (0.6719744485359347, 0.7510496241765088), 'precision': (0.8374730503544168, 0.8964905666921155), 'recall': (0.7792203309322178, 0.8471190514057585)}
Run 6: {'dice_score': tensor(0.7458, device='cuda:0'), 'mIoU': tensor(0.6608, device='cuda:0'), 'precision': 0.8440278653439978, 'recall': 0.7783961065824669}, Credible Intervals: {'dice_score': (0.7528869427890361, 0.8182617022027185), 'mIoU': (0.6666798037764572, 0.7395342359764209), 'precision': (0.835876765922436, 0.8904861074901051), 'recall': (0.7760208412701837, 0.838803313602174)}
Run 7: {'dice_score': tensor(0.8166, device='cuda:0'), 'mIoU': tensor(0.7337, device='cuda:0'), 'precision': 0.8398034345961171, 'recall': 0.8451109002800661}, Credible Intervals: {'dice_score': (0.7599250052752495, 0.8200289264972705), 'mIoU': (0.6738631757178437, 0.7410560792461902), 'precision': (0.8342964443945997, 0.8854247119119512), 'recall': (0.7839997946628552, 0.841536509749155)}
Run 8: {'dice_score': tensor(0.8167, device='cuda:0'), 'mIoU': tensor(0.7328, device='cuda:0'), 'precision': 0.861530252335701, 'recall': 0.8316854735989423}, Credible Intervals: {'dice_score': (0.765342022867084, 0.8212602377383956), 'mIoU': (0.6792764023771121, 0.7419519748362735), 'precision': (0.8361528442977844, 0.8839842014450344), 'recall': (0.7883283482844476, 0.8419148236047469)}
Run 9: {'dice_score': tensor(0.7763, device='cuda:0'), 'mIoU': tensor(0.6849, device='cuda:0'), 'precision': 0.8268161899030284, 'recall': 0.8192567729430402}, Credible Intervals: {'dice_score': (0.7649570319601406, 0.8178766235645414), 'mIoU': (0.6781245016857702, 0.7374056851975905), 'precision': (0.8335807853191486, 0.8791990373675806), 'recall': (0.7903315393766028, 0.8408269235575282)}
Run 10: {'dice_score': tensor(0.8051, device='cuda:0'), 'mIoU': tensor(0.7189, device='cuda:0'), 'precision': 0.8628255606002511, 'recall': 0.8304581285265412}, Credible Intervals: {'dice_score': (0.7677326963138645, 0.8178303659500281), 'mIoU': (0.6807748740716391, 0.7369645790409395), 'precision': (0.835423422388909, 0.8786387819371864), 'recall': (0.793176252381903, 0.8409466724405792)}
Run 11: {'dice_score': tensor(0.8192, device='cuda:0'), 'mIoU': tensor(0.7352, device='cuda:0'), 'precision': 0.849608803263116, 'recall': 0.8515156940078267}, Credible Intervals: {'dice_score': (0.7713849847256005, 0.8189577079127381), 'mIoU': (0.684524565581111, 0.7379792415017599), 'precision': (0.8357084790781607, 0.8770091611069432), 'recall': (0.7975554896920698, 0.8428099042742965)}
