Run 1: {'dice_score': tensor(0.8055, device='cuda:0'), 'mIoU': tensor(0.7285, device='cuda:0'), 'precision': 0.8460756697657397, 'recall': 0.8352274031225736}, Credible Intervals: {'dice_score': (0.7169074885599693, 0.8709386090200769), 'mIoU': (0.6338039656770997, 0.8059441000474032), 'precision': (0.7624274761376926, 0.9035754498226503), 'recall': (0.7501302574680024, 0.8949924219867014)}
Run 2: {'dice_score': tensor(0.8197, device='cuda:0'), 'mIoU': tensor(0.7402, device='cuda:0'), 'precision': 0.8489741448823201, 'recall': 0.854458663210348}, Credible Intervals: {'dice_score': (0.7526753762756299, 0.8604904024047733), 'mIoU': (0.6690205947435015, 0.7906881706458366), 'precision': (0.7910858809755498, 0.8906355014204008), 'recall': (0.7881100514555648, 0.8883501957366027)}
Run 3: {'dice_score': tensor(0.8116, device='cuda:0'), 'mIoU': tensor(0.7337, device='cuda:0'), 'precision': 0.8923435205966235, 'recall': 0.8099525429664827}, Credible Intervals: {'dice_score': (0.7641447033220952, 0.8523303767101534), 'mIoU': (0.6813300542854354, 0.7809027769652146), 'precision': (0.8188210816612913, 0.8967938002303332), 'recall': (0.7868033135759994, 0.8710588775381402)}
Run 4: {'dice_score': tensor(0.8191, device='cuda:0'), 'mIoU': tensor(0.7429, device='cuda:0'), 'precision': 0.8346952167796889, 'recall': 0.8725140595769316}, Credible Intervals: {'dice_score': (0.7728586644962289, 0.84900576857758), 'mIoU': (0.6909913827740704, 0.7770866597395187), 'precision': (0.8176366651836878, 0.8865381114054263), 'recall': (0.804097892383334, 0.8753498588405909)}
Run 5: {'dice_score': tensor(0.8197, device='cuda:0'), 'mIoU': tensor(0.7420, device='cuda:0'), 'precision': 0.818586296331289, 'recall': 0.8657095464137602}, Credible Intervals: {'dice_score': (0.7786872286670734, 0.8466565651233913), 'mIoU': (0.6971533223222885, 0.7741001246200726), 'precision': (0.8139929117437159, 0.8768872295655064), 'recall': (0.8133876017928431, 0.876376186575966)}
Run 6: {'dice_score': tensor(0.7966, device='cuda:0'), 'mIoU': tensor(0.7142, device='cuda:0'), 'precision': 0.855947894203687, 'recall': 0.8049918399663195}, Credible Intervals: {'dice_score': (0.7787835020055254, 0.8412373337076231), 'mIoU': (0.6967789538029618, 0.7673785661786854), 'precision': (0.818572193674418, 0.8757891657904173), 'recall': (0.8089924352822238, 0.8675616719767925)}
Run 7: {'dice_score': tensor(0.8249, device='cuda:0'), 'mIoU': tensor(0.7451, device='cuda:0'), 'precision': 0.8330141503089458, 'recall': 0.8801910752163625}, Credible Intervals: {'dice_score': (0.783320038325208, 0.8409332866255366), 'mIoU': (0.7012962878560933, 0.7665503472226262), 'precision': (0.8185140896593717, 0.871822836429312), 'recall': (0.8175111431944027, 0.8709528467309479)}
Run 8: {'dice_score': tensor(0.7975, device='cuda:0'), 'mIoU': tensor(0.7083, device='cuda:0'), 'precision': 0.8239178542229227, 'recall': 0.8456409988657928}, Credible Intervals: {'dice_score': (0.7832467110299293, 0.837370676547482), 'mIoU': (0.7000887333416597, 0.761386452654247), 'precision': (0.8174010734506858, 0.8676494349063159), 'recall': (0.8194073597282083, 0.8694076612458298)}
Run 9: {'dice_score': tensor(0.7992, device='cuda:0'), 'mIoU': tensor(0.7233, device='cuda:0'), 'precision': 0.8556310098752712, 'recall': 0.834648785646037}, Credible Intervals: {'dice_score': (0.7834936269685076, 0.8346712927466186), 'mIoU': (0.7009813967833332, 0.7588480352679033), 'precision': (0.8203657744472945, 0.8675849083115046), 'recall': (0.8196782549300653, 0.866977844494335)}
Run 10: {'dice_score': tensor(0.7967, device='cuda:0'), 'mIoU': tensor(0.7215, device='cuda:0'), 'precision': 0.8718135646517291, 'recall': 0.7894583943705671}, Credible Intervals: {'dice_score': (0.7835064716719335, 0.8321947902107871), 'mIoU': (0.701595933860149, 0.7565608750703161), 'precision': (0.8245061616960996, 0.8689908038204216), 'recall': (0.8152056582858744, 0.860718562396266)}
Run 11: {'dice_score': tensor(0.8087, device='cuda:0'), 'mIoU': tensor(0.7299, device='cuda:0'), 'precision': 0.8824408170322142, 'recall': 0.8020816661436025}, Credible Intervals: {'dice_score': (0.7847149008160056, 0.831143131954629), 'mIoU': (0.7029453432584194, 0.7553588338010839), 'precision': (0.8289537611901376, 0.8710100014105764), 'recall': (0.8128319649631892, 0.8565917408755286)}
